season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks
2023,1,Abilene Christian,WAC,1782,26.2,24,26,92.3,75.0,18,436,737,59.2,43.6,190,0,0,0.0,131,406,32.3,44.3,58,211,613,34.4,94.8,200,34.4,22.8,0.0,41.4,1.5
2023,2,Air Force,Mountain West,1634,30.0,47,53,88.7,63.8,30,323,510,63.3,52.9,171,0,0,0.0,124,338,36.7,35.5,44,261,733,35.6,93.9,245,44.9,20.7,0.0,31.2,3.2
2023,3,Akron,MAC,1826,23.2,53,57,93.0,69.8,37,344,623,55.2,35.5,122,0,0,0.0,119,329,36.2,24.4,29,289,817,35.4,81.3,235,44.7,18.0,0.0,34.1,3.1
2023,4,Alabama A&M,SWAC,1542,22.0,55,68,80.9,72.7,40,217,425,51.1,38.7,84,0,0,0.0,219,542,40.4,32.4,71,182,507,35.9,79.7,145,32.9,35.1,0.0,27.6,4.4
2023,5,Alabama,SEC,2312,23.9,136,153,88.9,83.1,113,385,724,53.2,29.9,115,19,25,76.0,115,316,36.4,14.8,17,366,1094,33.5,84.2,308,47.3,13.7,1.1,31.3,6.6
2023,6,Alabama State,SWAC,1665,16.8,40,51,78.4,77.5,31,242,542,44.6,29.3,71,0,0,0.0,166,529,31.4,27.1,45,170,543,31.3,77.6,132,32.6,31.8,0.0,32.6,3.1
2023,7,Alcorn State,SWAC,1390,15.3,39,44,88.6,71.8,28,208,398,52.3,28.8,60,3,5,60.0,178,529,33.6,25.8,46,117,414,28.3,66.7,78,29.8,38.1,0.4,28.6,3.2
2023,8,American University,Patriot,1565,26.8,78,82,95.1,79.5,62,326,538,60.6,46.3,151,0,0,0.0,140,357,39.2,24.3,34,203,588,34.5,85.2,173,37.6,22.8,0.0,34.4,5.2
2023,9,App State,Sun Belt,1842,22.6,107,119,89.9,70.1,75,274,473,57.9,29.9,82,0,0,0.0,188,524,35.9,19.7,37,243,726,33.5,91.4,222,39.4,28.4,0.0,25.7,6.5
2023,10,Arizona State,Pac-12,2156,23.8,103,117,88.0,78.6,81,275,561,49.0,39.3,108,3,7,42.9,253,620,40.8,43.1,109,274,851,32.2,78.5,215,39.5,28.8,0.3,26.0,5.4
