season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks
2021,1,Abilene Christian,Southland,1750,29.3,50,55,90.9,84.0,42,388,704,55.1,51.0,198,3,3,100.0,123,345,35.7,52.8,65,221,643,34.4,94.1,208,36.7,19.7,0.2,40.2,3.1
2021,2,Air Force,Mountain West,1037,25.9,33,34,97.1,81.8,27,187,300,62.3,48.7,91,0,0,0.0,92,242,38.0,21.7,20,148,461,32.1,88.5,131,44.5,23.3,0.0,28.9,3.3
2021,3,Akron,MAC,1413,21.3,49,56,87.5,77.6,38,249,444,56.1,29.7,74,0,0,0.0,111,261,42.5,16.2,18,217,652,33.3,78.8,171,46.1,18.5,0.0,31.4,4.0
2021,4,Alabama A&M,SWAC,625,20.8,8,9,88.9,87.5,7,104,198,52.5,42.3,44,1,1,100.0,78,216,36.1,37.2,29,62,201,30.8,80.6,50,32.2,34.6,0.2,31.7,1.4
2021,5,Alabama,SEC,2123,21.8,70,81,86.4,70.0,49,379,707,53.6,26.4,100,28,37,75.7,97,309,31.4,21.6,21,348,989,35.2,83.9,292,46.6,14.6,1.7,33.3,3.8
2021,6,Alabama State,SWAC,863,16.9,14,17,82.4,57.1,8,137,289,47.4,29.9,41,2,2,100.0,79,263,30.0,25.3,20,92,292,31.5,83.7,77,33.8,30.5,0.2,33.5,2.0
2021,7,Alcorn State,SWAC,570,14.9,7,9,77.8,85.7,6,72,152,47.4,23.6,17,5,5,100.0,79,211,37.4,25.3,20,58,193,30.1,72.4,42,33.9,37.0,0.9,26.7,1.6
2021,8,American University,Patriot,502,23.3,7,7,100.0,85.7,6,80,144,55.6,41.3,33,3,4,75.0,49,124,39.5,14.3,7,87,223,39.0,81.6,71,44.4,24.7,0.8,28.7,1.4
2021,9,App State,Sun Belt,1557,19.9,42,54,77.8,81.0,34,266,509,52.3,29.7,79,0,0,0.0,102,308,33.1,16.7,17,218,686,31.8,82.6,180,44.1,19.8,0.0,32.7,3.5
2021,10,Arizona State,Pac-12,1511,21.6,60,66,90.9,83.3,50,248,429,57.8,35.5,88,2,3,66.7,165,477,34.6,26.7,44,179,536,33.4,81.0,145,35.5,31.6,0.2,28.4,4.4
