season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks
2018,1,Abilene Christian,Southland,1763,25.8,44,51,86.3,77.3,34,359,590,60.8,42.1,151,10,13,76.9,216,491,44.0,40.3,87,203,618,32.8,89.7,182,35.1,27.9,0.7,33.5,2.9
2018,2,Air Force,Mountain West,1514,25.6,39,41,95.1,84.6,33,235,413,56.9,41.7,98,5,6,83.3,161,416,38.7,36.6,59,209,638,32.8,94.3,197,42.1,27.5,0.4,27.3,2.7
2018,3,Akron,MAC,1723,22.6,50,53,94.3,74.0,37,294,564,52.1,37.1,109,2,3,66.7,112,293,38.2,24.1,27,289,810,35.7,75.1,217,47.0,17.0,0.2,32.7,3.1
2018,4,Alabama A&M,SWAC,924,20.2,13,16,81.3,61.5,8,155,288,53.8,38.1,59,5,7,71.4,93,299,31.1,31.2,29,104,314,33.1,87.5,91,34.0,32.4,0.8,31.2,1.7
2018,5,Alabama,SEC,1806,23.3,144,156,92.3,79.9,115,287,484,59.3,39.0,112,12,21,57.1,181,520,34.8,20.4,37,208,625,33.3,75.0,156,34.6,28.8,1.2,26.8,8.6
2018,6,Alabama State,SWAC,1021,14.7,23,27,85.2,56.5,13,143,275,52.0,21.7,31,5,8,62.5,111,376,29.5,30.6,34,112,335,33.4,64.3,72,32.8,36.8,0.8,26.9,2.6
2018,7,Alcorn State,SWAC,1267,25.3,20,21,95.2,80.0,16,248,441,56.2,51.6,128,4,4,100.0,110,301,36.5,35.5,39,167,500,33.4,82.0,137,39.5,23.8,0.3,34.8,1.7
2018,8,American University,Patriot,1394,22.0,5,8,62.5,40.0,2,304,513,59.3,37.8,115,6,13,46.2,82,254,32.3,29.3,24,197,606,32.5,83.8,165,43.5,18.2,0.9,36.8,0.6
2018,9,App State,Sun Belt,1868,20.3,36,39,92.3,58.3,21,349,646,54.0,27.8,97,12,12,100.0,137,354,38.7,20.4,28,281,817,34.4,82.9,233,43.7,19.0,0.6,34.6,2.1
2018,10,Arizona State,Pac-12,1806,24.0,88,103,85.4,75.0,66,296,517,57.3,41.2,122,19,26,73.1,158,409,38.6,32.9,52,272,751,36.2,71.3,194,41.6,22.6,1.4,28.6,5.7
2018,11,Arizona,Pac-12,1889,26.0,124,130,95.4,75.0,93,307,475,64.6,36.5,112,25,35,71.4,275,653,42.1,41.1,113,216,596,36.2,80.1,173,31.6,34.6,1.9,25.1,6.9
2018,12,Arkansas,SEC,1987,23.4,117,124,94.4,79.5,93,323,476,67.9,39.0,126,24,27,88.9,233,728,32.0,33.9,79,250,632,39.6,66.4,166,31.8,36.6,1.4,24.0,6.2
2018,13,Arkansas State,Sun Belt,1853,17.7,26,32,81.3,53.8,14,353,636,55.5,28.3,100,21,26,80.8,189,487,38.8,12.7,24,225,672,33.5,84.4,190,36.3,26.3,1.4,34.3,1.7
2018,14,Arkansas-Pine Bluff,SWAC,1047,21.0,21,22,95.5,71.4,15,126,219,57.5,46.0,58,4,7,57.1,164,409,40.1,34.1,56,123,390,31.5,74.0,91,37.2,39.1,0.7,20.9,2.1
2018,15,Army,Patriot,1535,27.2,11,14,78.6,63.6,7,304,550,55.3,47.0,143,7,10,70.0,126,329,38.3,46.8,59,241,632,38.1,86.3,208,41.2,21.4,0.7,35.8,0.9
2018,16,Auburn,SEC,1843,23.2,94,110,85.5,64.9,61,267,448,59.6,37.8,101,29,38,76.3,130,460,28.3,34.6,45,291,787,37.0,75.6,220,42.7,25.0,2.1,24.3,6.0
2018,17,Austin Peay,OVC,1903,22.6,37,43,86.0,67.6,25,398,639,62.3,45.2,180,6,11,54.5,233,655,35.6,26.2,61,191,555,34.4,85.9,164,29.2,34.4,0.6,33.6,2.3
2018,18,BYU,WCC,1797,27.9,66,69,95.7,84.8,56,300,457,65.6,46.3,139,4,11,36.4,288,652,44.2,40.3,116,216,608,35.5,88.4,191,33.8,36.3,0.6,25.4,3.8
2018,19,Ball State,MAC,1725,24.2,37,39,94.9,70.3,26,329,564,58.3,48.6,160,19,22,86.4,174,434,40.1,25.9,45,224,666,33.6,83.0,186,38.6,25.2,1.3,32.7,2.3
2018,20,Baylor,Big 12,1845,26.0,91,104,87.5,80.2,73,295,451,65.4,40.0,118,35,48,72.9,260,669,38.9,40.8,106,205,573,35.8,89.3,183,31.1,36.3,2.6,24.4,5.6
2018,22,Belmont,OVC,1723,27.9,40,42,95.2,72.5,29,351,547,64.2,43.3,152,13,18,72.2,74,183,40.4,14.9,11,346,933,37.1,83.5,289,54.1,10.6,1.0,31.7,2.4
2018,23,Bethune-Cookman,MEAC,1737,24.5,92,105,87.6,69.6,64,282,502,56.2,44.3,125,20,22,90.9,160,460,34.8,43.1,69,202,648,31.2,83.2,168,37.3,26.5,1.3,28.9,6.0
2018,24,Binghamton,Am. East,1465,21.8,51,58,87.9,86.3,44,255,468,54.5,38.4,98,7,7,100.0,153,387,39.5,19.0,29,195,545,35.8,76.4,149,37.2,26.4,0.5,31.9,4.0
2018,25,Boise State,Mountain West,1521,22.3,39,44,88.6,56.4,22,250,385,64.9,32.8,82,10,15,66.7,174,446,39.0,13.2,23,242,631,38.4,87.6,212,41.5,29.3,1.0,25.3,2.9
2018,26,Boston College,ACC,1887,23.7,63,67,94.0,63.5,40,301,527,57.1,41.9,126,11,17,64.7,206,525,39.2,35.9,74,271,751,36.1,76.8,208,39.8,27.8,0.9,27.9,3.6
2018,27,Boston University,Patriot,1519,23.8,24,27,88.9,62.5,15,335,559,59.9,34.0,114,11,17,64.7,137,383,35.8,38.7,53,199,533,37.3,89.9,179,35.1,25.2,1.1,36.8,1.8
2018,28,Bowling Green,MAC,1774,21.3,43,44,97.7,76.7,33,336,664,50.6,39.3,132,6,9,66.7,145,440,33.0,24.8,36,217,617,35.2,81.6,177,34.8,24.8,0.5,37.4,2.5
2018,29,Bradley,MVC,1564,25.1,51,55,92.7,92.2,47,192,326,58.9,49.0,94,5,9,55.6,238,637,37.4,34.0,81,191,537,35.6,89.5,171,34.3,40.7,0.6,20.8,3.5
2018,30,Brown,Ivy,1433,21.3,31,38,81.6,71.0,22,292,537,54.4,35.6,104,3,4,75.0,124,340,36.5,37.1,46,169,514,32.9,78.7,133,35.9,23.7,0.3,37.5,2.7
2018,31,Bryant,NEC,1750,22.1,13,16,81.3,84.6,11,319,604,52.8,42.3,135,10,14,71.4,135,405,33.3,35.6,48,250,711,35.2,76.8,192,40.6,23.1,0.8,34.5,0.9
2018,32,Bucknell,Patriot,1818,24.1,66,73,90.4,68.2,45,314,537,58.5,36.9,116,15,18,83.3,214,484,44.2,37.9,81,245,706,34.7,80.0,196,38.8,26.6,1.0,29.5,4.0
2018,33,Buffalo,MAC,2077,24.3,57,65,87.7,73.7,42,459,796,57.7,34.0,156,16,21,76.2,132,345,38.3,33.3,44,309,850,36.4,85.1,263,40.9,16.6,1.0,38.3,3.1
2018,34,Butler,Big East,2033,22.8,54,58,93.1,61.1,33,397,622,63.8,40.8,162,17,18,94.4,223,573,38.9,22.9,51,268,762,35.2,81.0,217,37.5,28.2,0.9,30.6,2.9
2018,35,Cal Poly,Big West,1111,19.3,17,20,85.0,88.2,15,118,261,45.2,24.6,29,4,8,50.0,126,352,35.8,30.2,38,162,470,34.5,81.5,132,42.3,31.7,0.7,23.5,1.8
2018,36,Cal State Bakersfield,WAC,989,23.0,32,32,100.0,87.5,28,159,287,55.4,51.6,82,8,13,61.5,92,292,31.5,33.7,31,108,365,29.6,79.6,86,36.9,29.5,1.3,29.0,3.2
2018,37,Cal State Fullerton,Big West,1532,23.2,67,76,88.2,73.1,49,337,559,60.3,40.7,137,10,15,66.7,157,441,35.6,28.7,45,149,441,33.8,83.2,124,28.8,28.8,1.0,36.5,5.0
2018,38,Cal State Northridge,Big West,1500,21.1,16,20,80.0,68.8,11,253,452,56.0,43.9,111,3,5,60.0,206,560,36.8,32.0,66,166,463,35.9,77.1,128,30.9,37.3,0.3,30.1,1.3
2018,40,California,Pac-12,1758,16.2,69,73,94.5,52.2,36,286,512,55.9,32.2,92,22,28,78.6,204,662,30.8,27.5,56,135,483,28.0,74.1,100,27.5,37.7,1.6,29.1,4.2
2018,41,Campbell,Big South,1713,26.0,55,63,87.3,72.7,40,342,554,61.7,41.8,143,6,10,60.0,129,347,37.2,22.5,29,286,739,38.7,81.5,233,43.1,20.3,0.6,32.3,3.7
2018,42,Canisius,MAAC,1703,28.5,51,58,87.9,82.4,42,338,552,61.2,46.7,158,11,29,37.9,119,300,39.7,36.1,43,265,764,34.7,91.7,243,44.9,17.6,1.7,32.4,3.4
2018,43,Central Arkansas,Southland,1813,27.2,44,54,81.5,84.1,37,315,484,65.1,46.7,147,9,15,60.0,221,588,37.6,46.6,103,250,672,37.2,82.4,206,37.1,32.4,0.8,26.7,3.0
