season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks
2015,1,Abilene Christian,Southland,1677,22.2,5,6,83.3,100.0,5,224,426,52.6,42.4,95,3,5,60.0,219,631,34.7,36.5,80,230,609,37.8,83.9,193,36.3,37.6,0.3,25.4,0.4
2015,2,Air Force,Mountain West,1534,30.2,34,35,97.1,64.7,22,339,545,62.2,51.9,176,2,4,50.0,122,338,36.1,43.4,53,225,612,36.8,94.7,213,39.9,22.0,0.3,35.5,2.3
2015,3,Akron,MAC,1872,21.9,27,30,90.0,70.4,19,341,638,53.4,32.6,111,9,13,69.2,100,310,32.3,29.0,29,306,881,34.7,82.0,251,47.1,16.6,0.7,34.1,1.6
2015,4,Alabama A&M,SWAC,1072,24.0,35,46,76.1,74.3,26,162,303,53.5,54.3,88,18,24,75.0,94,292,32.2,38.3,36,117,407,28.7,91.5,107,38.0,27.2,2.2,28.3,4.3
2015,5,Alabama,SEC,1632,19.9,51,59,86.4,72.5,37,248,386,64.2,31.9,79,13,21,61.9,198,506,39.1,26.8,53,205,660,31.1,76.1,156,40.4,31.0,1.3,23.7,3.6
2015,6,Alabama State,SWAC,1233,20.5,40,46,87.0,62.5,25,178,296,60.1,40.4,72,9,14,64.3,173,545,31.7,35.3,61,118,332,35.5,80.5,95,26.9,44.2,1.1,24.0,3.7
2015,7,Alcorn State,SWAC,880,14.8,16,17,94.1,68.8,11,149,302,49.3,33.6,50,5,10,50.0,87,315,27.6,32.2,28,65,236,27.5,63.1,41,26.8,35.8,1.1,34.3,1.9
2015,8,American University,Patriot,1378,27.2,15,18,83.3,66.7,10,307,517,59.4,52.4,161,1,3,33.3,121,310,39.0,29.8,36,194,530,36.6,86.6,168,38.5,22.5,0.2,37.5,1.3
2015,9,App State,Sun Belt,1553,19.5,22,25,88.0,77.3,17,284,548,51.8,33.1,94,3,12,25.0,129,406,31.8,32.6,42,173,562,30.8,86.7,150,36.2,26.1,0.8,35.3,1.6
2015,10,Arizona State,Pac-12,1910,23.8,66,69,95.7,74.2,49,376,648,58.0,42.0,158,15,23,65.2,154,479,32.2,25.3,39,243,691,35.2,86.0,209,36.2,25.1,1.2,33.9,3.6
2015,11,Arizona,Pac-12,2071,25.4,118,131,90.1,74.6,88,326,542,60.1,44.8,146,44,63,69.8,328,799,41.1,35.1,115,193,536,36.0,92.2,178,25.9,38.6,3.0,26.2,6.3
2015,12,Arkansas,SEC,2196,26.3,98,114,86.0,70.4,69,308,505,61.0,45.1,139,34,50,68.0,300,846,35.5,52.3,157,238,681,34.9,89.5,213,31.0,38.5,2.3,23.0,5.2
2015,13,Arkansas State,Sun Belt,1439,19.7,26,29,89.7,38.5,10,237,426,55.6,35.0,83,15,33,45.5,160,501,31.9,42.5,68,145,450,32.2,84.1,122,31.3,34.8,2.3,29.6,2.0
