season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks
2020,1,Abilene Christian,Southland,1447,25.3,38,46,82.6,68.4,26,328,596,55.0,45.1,148,0,0,0.0,115,262,43.9,33.9,39,168,543,30.9,91.1,153,37.5,18.1,0.0,41.2,3.2
2020,2,Air Force,Mountain West,1758,26.2,30,35,85.7,70.0,21,296,496,59.7,40.9,121,2,3,66.7,198,490,40.4,34.3,68,275,734,37.5,91.3,251,41.8,27.9,0.2,28.2,2.0
2020,3,Akron,MAC,1612,22.5,55,63,87.3,90.9,50,285,553,51.5,34.4,98,4,5,80.0,121,285,42.5,19.0,23,253,706,35.8,75.5,191,43.8,17.7,0.3,34.3,3.9
2020,4,Alabama A&M,SWAC,1440,18.1,9,11,81.8,55.6,5,248,478,51.9,35.5,88,17,18,94.4,139,470,29.6,33.8,47,137,463,29.6,88.3,121,32.2,32.6,1.3,33.2,0.8
2020,5,Alabama,SEC,1889,22.2,57,65,87.7,64.9,37,331,588,56.3,33.8,112,3,4,75.0,112,309,36.2,26.8,30,317,923,34.3,76.0,241,48.9,16.4,0.2,31.1,3.4
2020,6,Alabama State,SWAC,1418,18.1,16,19,84.2,62.5,10,231,459,50.3,29.0,67,0,0,0.0,125,385,32.5,37.6,47,161,555,29.0,82.6,133,39.1,27.2,0.0,32.4,1.3
2020,7,Alcorn State,SWAC,1485,21.5,27,37,73.0,51.9,14,221,387,57.1,34.8,77,2,2,100.0,160,459,34.9,40.6,65,215,600,35.8,76.3,164,40.4,30.9,0.1,26.1,2.5
2020,8,American University,Patriot,1489,22.5,20,25,80.0,70.0,14,301,549,54.8,41.2,124,1,1,100.0,181,393,46.1,22.1,40,177,521,34.0,88.7,157,35.0,26.4,0.1,36.9,1.7
2020,9,App State,Sun Belt,1683,21.4,63,70,90.0,63.5,40,334,590,56.6,32.3,108,1,1,100.0,128,363,35.3,27.3,35,204,659,31.0,86.8,177,39.2,21.6,0.1,35.1,4.2
2020,10,Arizona State,Pac-12,1900,18.1,46,56,82.1,67.4,31,374,683,54.8,32.1,120,4,8,50.0,165,451,36.6,26.1,43,226,702,32.2,66.4,150,36.9,23.7,0.4,35.9,2.9
