season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks
2017,1,Abilene Christian,Southland,1459,26.2,24,28,85.7,54.2,13,273,445,61.3,42.1,115,6,6,100.0,174,463,37.6,39.7,69,199,517,38.5,93.0,185,35.4,31.7,0.4,30.5,1.9
2017,2,Air Force,Mountain West,1875,25.9,17,19,89.5,64.7,11,304,517,58.8,45.7,139,4,6,66.7,228,602,37.9,39.5,90,264,731,36.1,93.2,246,39.0,32.1,0.3,27.6,1.0
2017,3,Akron,MAC,1967,25.4,49,52,94.2,83.7,41,406,678,59.9,36.7,149,8,11,72.7,104,277,37.5,23.1,24,351,949,37.0,81.2,285,48.2,14.1,0.6,34.5,2.6
2017,4,Alabama A&M,SWAC,753,20.7,10,12,83.3,50.0,5,120,232,51.7,53.3,64,8,10,80.0,92,281,32.7,42.4,39,58,218,26.6,82.8,48,29.0,37.3,1.3,30.8,1.6
2017,5,Alabama,SEC,1850,20.2,92,98,93.9,64.1,59,275,506,54.3,36.0,99,19,26,73.1,180,534,33.7,16.1,29,218,686,31.8,85.8,187,37.1,28.9,1.4,27.4,5.3
2017,6,Alabama State,SWAC,1261,16.2,13,16,81.3,53.8,7,176,367,48.0,28.4,50,21,35,60.0,143,395,36.2,37.1,53,128,448,28.6,73.4,94,35.5,31.3,2.8,29.1,1.3
2017,7,Alcorn State,SWAC,1453,23.4,8,10,80.0,75.0,6,292,503,58.1,45.2,132,13,20,65.0,140,404,34.7,40.7,57,170,516,32.9,85.3,145,35.5,27.8,1.4,34.6,0.7
2017,8,American University,Patriot,1494,21.8,2,4,50.0,100.0,2,355,568,62.5,40.0,142,5,8,62.5,145,399,36.3,23.4,34,165,515,32.0,89.7,148,34.5,26.7,0.5,38.0,0.3
2017,9,App State,Sun Belt,1713,23.6,40,44,90.9,57.5,23,315,610,51.6,39.0,123,7,9,77.8,113,326,34.7,36.3,41,245,724,33.8,89.0,218,42.3,19.0,0.5,35.6,2.6
2017,10,Arizona State,Pac-12,1982,21.0,75,89,84.3,78.7,59,275,492,55.9,30.5,84,10,24,41.7,180,505,35.6,22.2,40,318,872,36.5,73.3,233,44.0,25.5,1.2,24.8,4.5
2017,11,Arizona,Pac-12,2046,24.2,112,130,86.2,75.0,84,327,559,58.5,38.5,126,15,23,65.2,279,709,39.4,31.2,87,244,625,39.0,81.1,198,30.5,34.7,1.1,27.3,6.4
2017,12,Arkansas,SEC,1982,22.2,43,46,93.5,74.4,32,376,562,66.9,43.9,165,26,35,74.3,243,757,32.1,37.9,92,212,582,36.4,71.2,151,29.4,38.2,1.8,28.4,2.3
2017,13,Arkansas State,Sun Belt,1795,22.0,39,46,84.8,64.1,25,417,730,57.1,36.2,151,22,28,78.6,128,409,31.3,14.1,18,223,582,38.3,90.1,201,32.4,22.8,1.6,40.7,2.6
2017,14,Arkansas-Pine Bluff,SWAC,1244,18.1,31,41,75.6,58.1,18,158,294,53.7,32.9,52,18,32,56.3,148,442,33.5,31.1,46,144,435,33.1,75.7,109,35.0,35.5,2.6,23.6,3.3
2017,15,Army,Patriot,1858,27.0,10,11,90.9,60.0,6,395,663,59.6,47.6,188,8,13,61.5,129,373,34.6,37.2,48,285,798,35.7,91.2,260,42.9,20.1,0.7,35.7,0.6
2017,16,Auburn,SEC,1907,21.2,111,132,84.1,70.3,78,280,505,55.4,29.3,82,31,41,75.6,137,464,29.5,32.1,44,279,765,36.5,71.7,200,40.1,24.3,2.1,26.5,6.9
2017,17,Austin Peay,OVC,1655,19.0,67,75,89.3,65.7,44,258,443,58.2,25.6,66,13,17,76.5,224,504,44.4,19.6,44,224,616,36.4,71.9,161,37.2,30.5,1.0,26.8,4.5
2017,18,BYU,WCC,2005,25.6,77,81,95.1,84.4,65,240,412,58.3,42.9,103,9,10,90.0,363,851,42.7,42.1,153,223,651,34.3,86.1,192,32.5,42.4,0.5,20.5,4.0
