season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks
2014,1,Abilene Christian,Southland,1423,23.8,16,19,84.2,68.8,11,241,420,57.4,43.6,105,2,2,100.0,180,484,37.2,33.9,61,194,498,39.0,83.5,162,35.0,34.0,0.1,29.5,1.3
2014,2,Air Force,Mountain West,1508,26.9,20,21,95.2,60.0,12,260,422,61.6,54.6,142,7,11,63.6,158,423,37.4,32.9,52,211,631,33.4,94.3,199,41.8,28.1,0.7,28.0,1.4
2014,3,Akron,MAC,1629,21.1,37,41,90.2,81.1,30,347,626,55.4,35.2,122,9,20,45.0,121,330,36.7,16.5,20,213,612,34.8,80.3,171,37.6,20.3,1.2,38.4,2.5
2014,4,Alabama A&M,SWAC,1066,23.8,31,35,88.6,77.4,24,164,294,55.8,43.9,72,7,12,58.3,121,373,32.4,46.3,56,117,352,33.2,87.2,102,33.0,35.0,1.1,27.6,3.3
2014,5,Alabama,SEC,1609,21.4,53,60,88.3,71.7,38,308,507,60.7,33.1,102,16,30,53.3,155,479,32.4,41.3,64,180,533,33.8,77.8,140,33.1,29.8,1.9,31.5,3.7
2014,6,Alabama State,SWAC,1158,22.5,37,39,94.9,70.3,26,177,315,56.2,36.2,64,7,8,87.5,171,434,39.4,46.2,79,102,362,28.2,89.2,91,31.3,37.5,0.7,27.2,3.4
2014,7,Alcorn State,SWAC,601,14.1,16,19,84.2,81.3,13,82,166,49.4,20.7,17,7,8,87.5,63,232,27.2,27.0,17,48,176,27.3,79.2,38,29.3,38.6,1.3,27.6,3.2
2014,8,American University,Patriot,1212,31.5,29,33,87.9,93.1,27,285,470,60.6,56.1,160,6,6,100.0,117,295,39.7,47.9,56,153,408,37.5,90.8,139,33.7,24.3,0.5,38.8,2.7
2014,9,App State,SoCon,1512,18.7,24,27,88.9,70.8,17,299,566,52.8,37.5,112,5,10,50.0,165,465,35.5,22.4,37,133,444,30.0,87.2,116,29.4,30.8,0.7,37.4,1.8
2014,10,Arizona State,Pac-12,1640,24.7,56,64,87.5,64.3,36,277,508,54.5,38.6,107,5,6,83.3,153,449,34.1,34.0,52,236,613,38.5,89.0,210,37.4,27.4,0.4,31.0,3.9
2014,11,Arizona,Pac-12,2121,27.1,171,186,91.9,78.4,134,317,557,56.9,48.3,153,46,71,64.8,258,745,34.6,41.9,108,204,562,36.3,87.7,179,26.5,35.1,3.3,26.3,8.8
