season,seasonLabel,teamId,team,conference,games,wins,losses,totalMinutes,pace,teamStats_fieldGoals_pct,teamStats_fieldGoals_attempted,teamStats_fieldGoals_made,teamStats_twoPointFieldGoals_pct,teamStats_twoPointFieldGoals_attempted,teamStats_twoPointFieldGoals_made,teamStats_threePointFieldGoals_pct,teamStats_threePointFieldGoals_attempted,teamStats_threePointFieldGoals_made,teamStats_freeThrows_pct,teamStats_freeThrows_attempted,teamStats_freeThrows_made,teamStats_rebounds_total,teamStats_rebounds_defensive,teamStats_rebounds_offensive,teamStats_turnovers_teamTotal,teamStats_turnovers_total,teamStats_fouls_flagrant,teamStats_fouls_technical,teamStats_fouls_total,teamStats_points_fastBreak,teamStats_points_offTurnovers,teamStats_points_inPaint,teamStats_points_total,teamStats_fourFactors_freeThrowRate,teamStats_fourFactors_offensiveReboundPct,teamStats_fourFactors_turnoverRatio,teamStats_fourFactors_effectiveFieldGoalPct,teamStats_assists,teamStats_blocks,teamStats_steals,teamStats_possessions,teamStats_rating,teamStats_trueShooting,opponentStats_fieldGoals_pct,opponentStats_fieldGoals_attempted,opponentStats_fieldGoals_made,opponentStats_twoPointFieldGoals_pct,opponentStats_twoPointFieldGoals_attempted,opponentStats_twoPointFieldGoals_made,opponentStats_threePointFieldGoals_pct,opponentStats_threePointFieldGoals_attempted,opponentStats_threePointFieldGoals_made,opponentStats_freeThrows_pct,opponentStats_freeThrows_attempted,opponentStats_freeThrows_made,opponentStats_rebounds_total,opponentStats_rebounds_defensive,opponentStats_rebounds_offensive,opponentStats_turnovers_teamTotal,opponentStats_turnovers_total,opponentStats_fouls_flagrant,opponentStats_fouls_technical,opponentStats_fouls_total,opponentStats_points_fastBreak,opponentStats_points_offTurnovers,opponentStats_points_inPaint,opponentStats_points_total,opponentStats_fourFactors_freeThrowRate,opponentStats_fourFactors_offensiveReboundPct,opponentStats_fourFactors_turnoverRatio,opponentStats_fourFactors_effectiveFieldGoalPct,opponentStats_assists,opponentStats_blocks,opponentStats_steals,opponentStats_possessions,opponentStats_rating,opponentStats_trueShooting
2014,20132014,1,Abilene Christian,Southland,31,11,20,1275,56.3,43.9,1611,707,46.2,1033,477,39.8,578,230,74.5,643,479,986,683,303,10,436,0,3,616,82,401,422,2214,39.9,30.7,0.24,51.0,385,70,217,1797,123.2,58.5,46.3,1576,730,51.9,1076,558,34.4,500,172,70.6,710,501,967,678,289,0,418,0,3,556,107,389,579,2228,45.1,29.9,0.23,51.8,386,126,200,1795,124.1,59.0
2014,20132014,2,Air Force,Mountain West,30,12,18,1230,61.6,43.5,1561,679,51.0,908,463,33.1,653,216,69.0,588,406,971,708,263,11,400,0,3,563,60,280,498,1980,37.7,27.1,0.21,50.4,419,94,164,1890,104.8,54.4,43.3,1595,690,50.4,948,478,32.8,647,212,70.2,687,482,1016,721,295,13,354,0,3,559,70,367,524,2074,43.1,29.0,0.19,49.9,404,128,208,1900,109.2,54.7
2014,20132014,3,Akron,MAC,34,21,13,1395,56.4,43.8,1855,813,49.3,1165,574,34.6,690,239,62.3,750,467,1175,763,412,7,446,0,5,606,71,383,444,2332,40.4,35.1,0.23,50.3,387,142,225,1962,118.9,53.4,43.3,1868,809,47.1,1351,636,33.5,517,173,71.6,675,483,1128,760,368,5,439,0,6,644,74,333,484,2276,36.1,32.6,0.22,47.9,378,106,223,1969,115.6,52.6
2014,20132014,4,Alabama A&M,SWAC,30,14,16,1245,42.6,40.8,1542,629,45.1,997,450,32.8,545,179,66.4,646,429,972,686,286,11,381,0,5,628,66,240,290,1936,41.9,29.4,0.29,46.6,365,119,172,1326,146.0,53.0,40.7,1527,622,44.1,1090,481,32.3,437,141,69.3,818,567,1104,741,363,6,395,0,4,565,75,238,338,2010,53.6,32.9,0.3,45.4,283,91,189,1325,151.7,53.3
2014,20132014,5,Alabama,SEC,32,13,19,1305,61.9,44.4,1669,741,49.8,1121,558,33.4,548,183,68.5,737,505,1050,730,320,9,380,0,2,607,56,174,308,2170,44.2,30.5,0.19,49.9,351,137,218,2017,107.6,54.4,41.9,1736,727,47.4,1161,550,30.8,575,177,74.4,698,519,1117,733,384,12,410,0,1,611,33,125,268,2150,40.2,34.4,0.2,47.0,381,129,179,2022,106.3,52.6
2014,20132014,6,Alabama State,SWAC,32,19,13,1340,41.4,41.9,1892,792,48.2,1280,617,28.6,612,175,67.6,748,506,1157,730,427,7,393,0,1,578,49,328,202,2265,39.5,36.9,0.28,46.5,415,115,217,1386,163.4,51.0,44.4,1779,789,49.8,1250,623,31.4,529,166,69.5,692,481,1181,806,375,11,476,0,6,647,46,262,262,2225,38.9,31.8,0.34,49.0,383,101,195,1389,160.2,53.4
2014,20132014,7,Alcorn State,SWAC,31,12,19,1305,21.0,41.8,1658,693,46.1,1209,557,30.3,449,136,65.4,708,463,958,656,302,20,355,0,3,577,30,128,146,1985,42.7,31.5,0.52,45.9,286,116,184,686,289.4,50.4,43.0,1683,724,46.9,1161,545,34.3,522,179,71.0,668,474,1066,729,337,23,379,0,1,540,31,166,152,2101,39.7,31.6,0.55,48.3,373,79,163,684,307.2,53.1
2014,20132014,8,American University,Patriot,33,20,13,1335,47.3,49.0,1527,748,55.1,981,541,37.9,546,207,70.7,535,378,986,754,232,20,464,0,3,567,95,284,490,2081,35.0,23.5,0.29,55.8,492,110,198,1582,131.5,59.0,41.4,1621,671,45.7,1116,510,31.9,505,161,67.9,660,448,962,643,319,11,395,0,1,579,60,264,424,1951,40.7,33.2,0.25,46.4,336,79,234,1576,123.8,51.0
2014,20132014,9,App State,SoCon,30,9,21,1230,56.6,41.6,1730,719,46.2,1230,568,30.2,500,151,63.8,697,445,1088,698,390,9,361,0,3,597,80,341,518,2034,40.3,35.8,0.21,45.9,327,83,187,1746,116.5,49.9,46.4,1644,763,50.4,1158,584,36.8,486,179,66.7,670,447,1061,760,301,3,386,0,4,601,79,368,536,2152,40.8,28.4,0.22,51.9,388,130,170,1733,124.2,55.5
2014,20132014,10,Arizona State,Pac-12,33,21,12,1385,58.7,45.1,1852,836,48.8,1164,568,39.0,688,268,69.4,787,546,1172,891,281,3,377,0,6,635,45,280,334,2486,42.5,24.0,0.19,52.4,471,182,167,2027,122.6,56.5,41.9,1961,821,45.3,1425,646,32.6,536,175,64.8,732,474,1251,866,385,1,394,0,1,658,56,195,370,2291,37.3,30.8,0.19,46.3,387,135,184,2038,112.4,50.2
