season,teamId,team,conference,trackedShots,assistedPct,dunks_made,dunks_attempted,dunks_pct,dunks_assistedPct,dunks_assisted,layups_made,layups_attempted,layups_pct,layups_assistedPct,layups_assisted,tipIns_made,tipIns_attempted,tipIns_pct,twoPointJumpers_made,twoPointJumpers_attempted,twoPointJumpers_pct,twoPointJumpers_assistedPct,twoPointJumpers_assisted,threePointJumpers_made,threePointJumpers_attempted,threePointJumpers_pct,threePointJumpers_assistedPct,threePointJumpers_assisted,attemptsBreakdown_threePointJumpers,attemptsBreakdown_twoPointJumpers,attemptsBreakdown_tipIns,attemptsBreakdown_layups,attemptsBreakdown_dunks,athleteId,athleteName
2021,1,Abilene Christian,Southland,88,21.6,2,2,100.0,0.0,0,5,12,41.7,40.0,2,0,0,0.0,0,5,0.0,0.0,0,23,69,33.3,73.9,17,78.4,5.7,0.0,13.6,2.3,7705,Logan McLaughlin
2021,1,Abilene Christian,Southland,46,39.1,1,1,100.0,100.0,1,11,20,55.0,63.6,7,0,0,0.0,2,4,50.0,100.0,2,8,21,38.1,100.0,8,45.7,8.7,0.0,43.5,2.2,16869,Cameron Steele
2021,1,Abilene Christian,Southland,138,29.7,0,0,0.0,0.0,0,37,63,58.7,54.1,20,0,0,0.0,12,31,38.7,50.0,6,16,44,36.4,93.8,15,31.9,22.5,0.0,45.7,0.0,16870,Airion Simmons
2021,1,Abilene Christian,Southland,58,27.6,5,5,100.0,80.0,4,15,26,57.7,40.0,6,0,0,0.0,5,14,35.7,40.0,2,5,13,38.5,80.0,4,22.4,24.1,0.0,44.8,8.6,16873,Immanuel Allen
2021,1,Abilene Christian,Southland,177,22.0,0,0,0.0,0.0,0,31,62,50.0,35.5,11,0,0,0.0,13,40,32.5,46.2,6,22,75,29.3,100.0,22,42.4,22.6,0.0,35.0,0.0,21203,Damien Daniels
2021,1,Abilene Christian,Southland,56,30.4,0,0,0.0,0.0,0,16,20,80.0,50.0,8,0,0,0.0,0,2,0.0,0.0,0,10,34,29.4,90.0,9,60.7,3.6,0.0,35.7,0.0,21204,Tobias Cameron
2021,1,Abilene Christian,Southland,242,27.3,13,14,92.9,92.3,12,56,127,44.1,44.6,25,2,2,100.0,20,56,35.7,45.0,9,20,43,46.5,100.0,20,17.8,23.1,0.8,52.5,5.8,21205,Joe Pleasant
2021,1,Abilene Christian,Southland,150,29.3,0,0,0.0,0.0,0,27,53,50.9,40.7,11,0,0,0.0,10,17,58.8,50.0,5,29,80,36.3,96.6,28,53.3,11.3,0.0,35.3,0.0,27157,Mahki Morris
2021,1,Abilene Christian,Southland,124,26.6,0,0,0.0,0.0,0,30,47,63.8,33.3,10,0,0,0.0,5,15,33.3,20.0,1,22,62,35.5,100.0,22,50.0,12.1,0.0,37.9,0.0,27158,Reggie Miller
2021,1,Abilene Christian,Southland,205,26.8,5,5,100.0,80.0,4,45,75,60.0,46.7,21,1,1,100.0,16,53,30.2,18.8,3,27,71,38.0,100.0,27,34.6,25.9,0.5,36.6,2.4,27161,Coryon Mason
2021,1,Abilene Christian,Southland,33,39.4,1,1,100.0,100.0,1,12,22,54.5,75.0,9,0,0,0.0,0,1,0.0,0.0,0,3,9,33.3,100.0,3,27.3,3.0,0.0,66.7,3.0,27162,Jameson Richardson
2021,1,Abilene Christian,Southland,246,43.1,20,24,83.3,95.0,19,77,128,60.2,71.4,55,0,0,0.0,32,79,40.5,90.6,29,4,15,26.7,75.0,3,6.1,32.1,0.0,52.0,9.8,31417,Kolton Kohl
2021,1,Abilene Christian,Southland,163,27.0,3,3,100.0,33.3,1,25,44,56.8,52.0,13,0,0,0.0,8,25,32.0,25.0,2,30,91,33.0,93.3,28,55.8,15.3,0.0,27.0,1.8,31418,Clay Gayman
2021,1,Abilene Christian,Southland,8,0.0,0,0,0.0,0.0,0,1,4,25.0,0.0,0,0,0,0.0,0,1,0.0,0.0,0,0,3,0.0,0.0,0,37.5,12.5,0.0,50.0,0.0,31419,Payton Brooks
2021,1,Abilene Christian,Southland,16,12.5,0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0,0.0,0,2,0.0,0.0,0,2,13,15.4,100.0,2,81.3,12.5,0.0,6.3,0.0,31420,Paul Hiepler
2021,2,Air Force,Mountain West,28,25.0,0,0,0.0,0.0,0,4,6,66.7,75.0,3,0,0,0.0,1,3,33.3,0.0,0,5,19,26.3,80.0,4,67.9,10.7,0.0,21.4,0.0,16214,Carter Murphy
2021,2,Air Force,Mountain West,74,24.3,0,0,0.0,0.0,0,10,16,62.5,40.0,4,0,0,0.0,7,20,35.0,28.6,2,12,38,31.6,100.0,12,51.4,27.0,0.0,21.6,0.0,16450,Glen McClintock
2021,2,Air Force,Mountain West,27,18.5,0,0,0.0,0.0,0,3,5,60.0,66.7,2,0,0,0.0,1,3,33.3,0.0,0,4,19,21.1,75.0,3,70.4,11.1,0.0,18.5,0.0,20710,Camden Vander Zwaag
2021,2,Air Force,Mountain West,135,40.0,12,12,100.0,91.7,11,30,43,69.8,66.7,20,0,0,0.0,17,40,42.5,64.7,11,12,40,30.0,100.0,12,29.6,29.6,0.0,31.9,8.9,20712,Nikc Jackson
2021,2,Air Force,Mountain West,275,17.8,0,0,0.0,0.0,0,51,79,64.6,21.6,11,0,0,0.0,30,74,40.5,3.3,1,48,122,39.3,77.1,37,44.4,26.9,0.0,28.7,0.0,28098,A.J. Walker
2021,2,Air Force,Mountain West,4,50.0,0,0,0.0,0.0,0,2,2,100.0,100.0,2,0,0,0.0,0,2,0.0,0.0,0,0,0,0.0,0.0,0,0.0,50.0,0.0,50.0,0.0,28101,CJ Haut
