season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,defensiveRating,netRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive
2016,20152016,1,Abilene Christian,Southland,36150,Hayden Howell,F,31,2,354,119,36,56,7,5,13,22.3,88.9,113.7,-24.8,0.0,45.7,0.518,0.19,56.5,53.7,45.7,92,42,45.7,92,42,0.0,0,0,67.3,52,35,67,31,36,0.0,0.0,0.1,-0.1
2016,20152016,1,Abilene Christian,Southland,42097,Jaren Lewis,F,31,10,673,292,34,64,40,34,18,22.1,113.1,104.6,8.5,2.0,54.8,0.584,1.18,33.5,20.0,50.5,218,110,52.9,172,91,41.3,46,19,72.6,73,53,180,144,36,0.143,2.4,0.8,1.6
2016,20152016,1,Abilene Christian,Southland,42099,Jaylen Franklin,G,30,23,883,486,85,84,82,52,4,30.7,103.2,108.9,-5.7,2.2,52.5,0.56,0.96,60.1,20.0,51.3,343,176,53.3,315,168,28.6,28,8,61.2,206,126,115,92,23,0.104,2.3,0.8,1.5
2016,20152016,1,Abilene Christian,Southland,42100,Hayden Farquhar,F,30,0,250,76,17,39,10,7,1,19.9,88.8,113.0,-24.2,0.0,49.3,0.487,0.59,22.5,28.6,43.7,71,31,52.3,44,23,29.6,27,8,37.5,16,6,49,35,14,0.0,0.0,0.1,-0.1
2016,20152016,1,Abilene Christian,Southland,47386,Drake Green,G,29,3,293,52,14,44,8,10,5,17.5,66.4,112.9,-46.5,-0.6,28.1,0.308,0.57,12.5,29.3,25.0,80,20,32.6,46,15,14.7,34,5,70.0,10,7,41,29,12,-0.068,-0.5,0.1,-0.6
2016,20152016,1,Abilene Christian,Southland,47387,Isaiah Tripp,G,29,1,312,85,14,36,17,7,0,13.6,115.6,115.7,-0.1,0.7,56.3,0.626,1.21,48.2,33.3,48.2,56,27,56.3,32,18,37.5,24,9,81.5,27,22,27,18,9,0.077,0.6,0.1,0.5
2016,20152016,1,Abilene Christian,Southland,50279,Jovan Crnic,G,31,14,640,219,67,66,78,23,3,23.1,91.6,112.3,-20.7,0.3,45.6,0.506,1.16,28.6,10.1,37.0,192,71,39.6,96,38,34.4,96,33,80.0,55,44,79,71,8,0.019,0.3,0.3,0.0
2016,20152016,1,Abilene Christian,Southland,56233,Duran Porter,F,31,29,615,255,44,87,18,10,27,21.5,106.2,111.4,-5.2,1.3,58.5,0.61,0.41,42.6,32.8,58.5,176,103,58.5,176,103,0.0,0,0,65.3,75,49,116,78,38,0.085,1.3,0.4,0.9
2016,20152016,1,Abilene Christian,Southland,56234,Austin Cooke,F,30,19,575,197,26,73,19,15,2,18.3,110.8,113.5,-2.7,1.3,49.7,0.563,0.73,39.6,34.8,37.6,149,56,40.0,50,20,36.4,99,36,83.1,59,49,112,73,39,0.083,1.2,0.2,1.0
2016,20152016,1,Abilene Christian,Southland,56235,Parker Wentz,G,31,27,918,269,27,65,27,37,3,13.8,116.1,114.1,2.0,1.9,60.1,0.624,1.0,15.3,8.9,43.1,202,87,37.5,48,18,44.8,154,69,83.9,31,26,56,51,5,0.074,1.7,0.3,1.4
2016,20152016,1,Abilene Christian,Southland,56236,Jalen Little,G,26,22,737,159,50,67,116,33,2,13.9,105.9,113.6,-7.7,1.1,47.2,0.542,2.32,39.2,11.7,38.4,125,48,41.3,63,26,35.5,62,22,83.7,49,41,77,68,9,0.06,1.1,0.3,0.8
2016,20152016,2,Air Force,Mountain West,36698,Danny Hummer,G,10,0,38,8,3,9,4,2,0,18.0,81.6,114.8,-33.2,-0.1,33.3,0.405,1.33,22.2,50.0,22.2,9,2,0.0,1,0,25.0,8,2,100.0,2,2,2,1,1,0.0,0.0,0.0,0.0
2016,20152016,2,Air Force,Mountain West,42101,Pervis Louder,G,18,2,210,73,17,31,9,9,0,21.9,93.8,105.6,-11.8,0.2,45.5,0.524,0.53,55.4,37.1,41.1,56,23,43.9,41,18,33.3,15,5,71.0,31,22,35,22,13,0.038,0.2,0.2,0.0
2016,20152016,2,Air Force,Mountain West,48358,Frank Toohey,C,26,9,366,144,24,63,14,5,6,20.1,116.2,107.4,8.8,1.3,56.2,0.636,0.58,90.1,50.0,51.9,81,42,56.5,62,35,36.8,19,7,72.6,73,53,76,38,38,0.131,1.2,0.4,0.8
2016,20152016,2,Air Force,Mountain West,48359,Trevor Lyons,G,22,22,707,279,42,42,61,31,0,23.3,99.9,103.1,-3.2,1.4,44.1,0.508,1.45,68.2,11.5,39.3,211,83,41.2,153,63,34.5,58,20,64.6,144,93,78,69,9,0.091,1.6,1.0,0.6
2016,20152016,2,Air Force,Mountain West,48360,Jacob Van,G,28,8,394,167,27,23,27,16,0,22.8,106.3,107.2,-0.9,0.9,54.5,0.588,1.0,35.0,22.6,47.2,123,58,49.4,81,40,42.9,42,18,76.7,43,33,31,24,7,0.102,1.0,0.4,0.6
2016,20152016,2,Air Force,Mountain West,48362,Dane Norman,F,15,0,45,16,1,3,1,0,2,18.3,111.4,112.1,-0.7,0.2,54.2,0.546,1.0,50.0,27.3,50.0,12,6,62.5,8,5,25.0,4,1,50.0,6,3,11,8,3,0.089,0.1,0.0,0.1
2016,20152016,2,Air Force,Mountain West,48363,Ryan Manning,F,5,3,104,31,3,8,6,1,4,19.0,97.7,104.3,-6.6,0.6,33.3,0.419,2.0,27.3,58.3,30.3,33,10,42.1,19,8,14.3,14,2,100.0,9,9,12,5,7,0.038,0.1,0.1,0.0
2016,20152016,2,Air Force,Mountain West,48364,CJ Siples,G,32,12,708,207,42,69,69,29,8,15.7,110.1,102.5,7.6,1.2,59.1,0.618,1.64,50.4,9.7,51.8,137,71,53.7,95,51,47.6,42,20,65.2,69,45,93,84,9,0.107,1.9,1.0,0.9
2016,20152016,2,Air Force,Mountain West,51511,Hayden Graham,F,31,31,1112,428,63,86,69,34,10,21.4,104.8,104.5,0.3,2.1,53.6,0.557,1.1,25.1,25.9,48.6,346,168,52.2,255,133,38.5,91,35,65.5,87,57,193,143,50,0.101,2.8,1.4,1.4
2016,20152016,2,Air Force,Mountain West,51512,Zach Kocur,G,32,32,967,306,65,74,64,37,0,19.5,94.8,101.8,-7.0,0.6,49.6,0.525,0.98,22.6,9.9,38.9,265,103,43.0,107,46,36.1,158,57,71.7,60,43,171,154,17,0.074,1.8,1.5,0.3
2016,20152016,2,Air Force,Mountain West,51513,Kyle Broekhuis,F,31,15,501,103,29,49,21,6,2,13.7,92.1,107.0,-14.9,0.1,45.8,0.512,0.72,48.2,28.4,39.8,83,33,46.0,50,23,30.3,33,10,67.5,40,27,88,63,25,0.04,0.5,0.5,0.0
2016,20152016,2,Air Force,Mountain West,51514,Brendan Leonard,C,3,0,9,3,2,0,0,0,0,27.1,72.2,109.9,-37.7,-0.2,0.0,0.543,0.0,400.0,50.0,0.0,1,0,0.0,0,0,0.0,1,0,75.0,4,3,2,1,1,0.0,0.0,0.0,0.0
2016,20152016,2,Air Force,Mountain West,51518,Malik Abbott,G,4,0,7,0,1,1,1,0,0,7.8,,101.2,,,,,1.0,,25.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,3,1,,,0.0,
2016,20152016,2,Air Force,Mountain West,57092,Zach Moer,C,29,22,575,250,51,85,30,11,24,25.9,96.1,101.9,-5.8,0.7,48.5,0.539,0.59,38.9,27.0,46.0,198,91,49.4,164,81,29.4,34,10,75.3,77,58,115,84,31,0.083,1.2,0.9,0.3
2016,20152016,2,Air Force,Mountain West,57093,Joe Tuss,F,30,2,348,81,20,44,19,6,1,20.5,72.9,105.6,-32.7,-0.6,32.2,0.349,0.95,26.0,25.9,27.9,104,29,32.8,61,20,20.9,43,9,51.9,27,14,58,43,15,-0.023,-0.2,0.4,-0.6
2016,20152016,2,Air Force,Mountain West,57094,Dezmond James,G,32,2,396,86,21,30,25,9,1,17.5,79.4,106.8,-27.4,-0.3,34.7,0.391,1.19,35.8,18.2,31.6,95,30,38.7,62,24,18.2,33,6,58.8,34,20,44,36,8,0.0,0.0,0.4,-0.4
2016,20152016,2,Air Force,Mountain West,57097,Jason Anderson,G,2,0,1,0,0,0,0,0,0,0.0,,127.9,,,,,,,100.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,1,,,0.0,
2016,20152016,2,Air Force,Mountain West,57099,Dylan Clark,G,1,0,1,0,0,0,0,0,0,0.0,,101.6,,,,,,,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,0.0,
2016,20152016,2,Air Force,Mountain West,57100,Jace Chacon,G,4,0,11,7,1,0,0,0,0,25.5,116.6,107.1,9.5,0.3,75.0,0.788,0.0,25.0,0.0,75.0,4,3,100.0,3,3,0.0,1,0,100.0,1,1,2,2,0,0.0,0.0,0.0,0.0
2016,20152016,3,Akron,MAC,36665,Daniel Utomi,G,2,0,4,0,0,0,0,1,0,25.3,0.0,79.2,-79.2,-0.7,0.0,0.0,,0.0,,0.0,2,0,0.0,1,0,0.0,1,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2016,20152016,3,Akron,MAC,37169,Josh Williams,G,34,4,638,226,49,44,47,14,4,19.4,103.8,105.5,-1.7,0.9,56.3,0.581,0.96,14.2,18.8,40.4,183,74,37.2,43,16,41.4,140,58,76.9,26,20,85,69,16,0.094,1.5,0.8,0.7
2016,20152016,3,Akron,MAC,42437,Jimond Ivey,G,32,0,274,82,18,29,21,9,3,19.5,94.8,99.9,-5.1,0.2,43.8,0.474,1.17,45.8,21.2,40.3,72,29,49.0,49,24,21.7,23,5,57.6,33,19,52,41,11,0.088,0.6,0.5,0.1
2016,20152016,3,Akron,MAC,44354,Noah Robotham,G,29,26,922,280,41,52,108,34,3,15.9,118.5,108.7,9.8,2.5,54.3,0.575,2.63,25.6,16.3,41.6,219,91,44.3,79,35,40.0,140,56,75.0,56,42,80,67,13,0.121,2.8,0.8,2.0
2016,20152016,3,Akron,MAC,48164,Antino Jackson,G,35,33,995,412,78,80,121,41,1,24.7,102.9,103.9,-1.0,1.7,46.9,0.509,1.55,22.0,15.9,37.7,369,139,40.8,174,71,34.9,195,68,81.5,81,66,107,90,17,0.105,2.6,1.3,1.3
2016,20152016,3,Akron,MAC,48441,Aaron Jackson,G,30,4,281,77,9,42,10,5,3,15.5,109.0,106.7,2.3,0.5,45.3,0.502,1.11,45.3,56.1,37.5,64,24,43.8,32,14,31.3,32,10,65.5,29,19,41,18,23,0.1,0.7,0.3,0.4
2016,20152016,3,Akron,MAC,53316,Kwan Cheatham Jr.,F,35,33,787,253,45,91,56,8,34,19.9,100.0,101.7,-1.7,0.9,45.1,0.482,1.24,26.4,25.6,37.0,235,87,40.5,121,49,33.3,114,38,66.1,62,41,172,128,44,0.091,1.8,1.2,0.6
