season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive,defensiveRating,netRating
2005,20042005,12,Arkansas,SEC,89181,Jonathon Modica,G,26,8,558,259,47,35,36,20,2,24.0,109.6,1.8,61.1,0.616,0.77,44.3,38.6,53.4,176,94,59.3,113,67,42.9,63,27,56.4,78,44,70,43,27,,,,,,
2005,20042005,12,Arkansas,SEC,89182,Eric Ferguson,G,26,8,722,221,48,43,112,44,3,20.1,103.8,1.4,46.5,0.478,2.33,14.7,23.9,38.2,217,83,41.2,114,47,35.0,103,36,59.4,32,19,67,51,16,,,,,,
2005,20042005,12,Arkansas,SEC,91127,Rashard Sullivan,F,26,3,367,50,39,55,15,15,23,11.3,75.9,-0.3,53.1,0.613,0.38,62.5,35.1,53.1,32,17,53.1,32,17,0.0,0,0,80.0,20,16,74,48,26,,,,,,
2005,20042005,12,Arkansas,SEC,91128,Olu Famutimi,G-F,26,14,618,243,26,44,23,23,2,21.1,111.3,1.9,52.2,0.542,0.88,22.5,30.5,43.1,204,88,46.8,109,51,38.9,95,37,65.2,46,30,105,73,32,,,,,,
2005,20042005,12,Arkansas,SEC,91129,Michael Jones,G-F,19,2,167,76,11,24,2,2,1,27.0,97.7,0.4,46.6,0.494,0.18,12.3,32.3,38.4,73,28,50.0,32,16,29.3,41,12,88.9,9,8,31,21,10,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,85752,Isaac Wells,F,24,0,579,189,33,50,24,6,13,19.3,95.2,0.6,45.6,0.467,0.73,25.3,32.4,42.3,182,77,43.9,148,65,35.3,34,12,50.0,46,23,105,71,34,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,85753,Theo Little,C,13,0,70,13,7,17,1,1,1,12.9,78.3,-0.1,54.5,0.547,0.14,18.2,41.2,54.5,11,6,54.5,11,6,0.0,0,0,50.0,2,1,17,10,7,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,85756,Yual Banks,G,10,0,39,9,5,5,4,1,0,17.4,79.6,-0.1,50.0,0.5,0.8,0.0,16.7,44.4,9,4,75.0,4,3,20.0,5,1,0.0,0,0,6,5,1,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,89138,Kitus Witherspoon,F,24,0,525,216,42,67,16,15,14,22.0,101.7,1.1,51.4,0.537,0.38,37.0,38.8,51.4,173,89,51.4,173,89,0.0,0,0,59.4,64,38,165,101,64,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,89139,Marcus Ardison,F,18,0,402,125,28,51,20,5,10,15.6,106.1,1.0,58.1,0.593,0.71,51.2,40.2,58.1,86,50,58.1,86,50,0.0,0,0,56.8,44,25,82,49,33,,,,,,
