season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,defensiveRating,netRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive
2007,20062007,2,Air Force,Mountain West,78043,Grant Parker,F-C,8,0,44,15,4,5,1,0,0,19.5,107.5,102.1,5.4,0.3,75.0,0.705,0.25,75.0,33.3,62.5,8,5,60.0,5,3,66.7,3,2,50.0,6,3,12,8,4,0.182,0.2,0.1,0.1
2007,20062007,2,Air Force,Mountain West,78046,Avery Merriex,G,8,0,39,9,3,2,3,3,0,13.5,105.6,101.5,4.1,0.2,75.0,0.75,1.0,0.0,0.0,66.7,6,4,75.0,4,3,50.0,2,1,0.0,0,0,1,1,0,0.205,0.2,0.1,0.1
2007,20062007,2,Air Force,Mountain West,78047,Saj El-Amin,G,1,0,3,2,0,0,0,0,0,53.9,88.9,91.6,-2.7,0.0,33.3,0.333,,0.0,,33.3,3,1,33.3,3,1,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2007,20062007,2,Air Force,Mountain West,80141,Matt Holland,F,17,0,65,16,2,6,8,0,0,18.3,109.4,113.2,-3.8,0.2,43.8,0.45,4.0,25.0,14.3,37.5,16,6,50.0,8,4,25.0,8,2,50.0,4,2,14,12,2,0.123,0.2,0.0,0.2
2007,20062007,2,Air Force,Mountain West,80142,Anwar Johnson,F,31,0,226,59,16,37,12,9,1,19.9,91.0,129.8,-38.8,0.1,50.0,0.514,0.75,56.5,36.4,50.0,46,23,54.8,42,23,0.0,4,0,50.0,26,13,22,14,8,-0.035,-0.2,-0.2,0.0
2007,20062007,2,Air Force,Mountain West,80143,Andrew Henke,G-F,32,0,441,151,26,51,34,4,1,20.3,112.1,138.7,-26.6,1.1,60.6,0.632,1.31,33.7,15.2,47.1,104,49,58.3,36,21,41.2,68,28,71.4,35,25,33,28,5,0.054,0.6,-0.8,1.4
2007,20062007,2,Air Force,Mountain West,82490,Keith Maren,F-C,12,0,66,17,2,4,1,5,1,20.4,91.6,111.2,-19.6,0.1,44.1,0.414,0.5,47.1,45.5,35.3,17,6,42.9,7,3,30.0,10,3,25.0,8,2,11,6,5,0.0,0.0,0.0,0.0
2007,20062007,2,Air Force,Mountain West,82491,Tim Anderson,G,34,20,1109,310,45,67,100,60,12,16.1,124.5,128.9,-4.4,3.2,55.8,0.625,2.22,44.9,32.8,48.3,207,100,59.5,116,69,34.1,91,31,84.9,93,79,116,78,38,0.137,3.8,-1.1,4.9
2007,20062007,2,Air Force,Mountain West,82492,Eric Kenzik,F-C,15,0,74,27,6,10,5,1,2,19.4,118.8,99.0,19.8,0.5,75.0,0.752,0.83,64.3,22.2,71.4,14,10,81.8,11,9,33.3,3,1,66.7,9,6,18,14,4,0.216,0.4,0.1,0.3
2007,20062007,2,Air Force,Mountain West,82494,Adam Hood,G,15,0,97,37,8,10,14,3,0,21.9,119.2,110.2,9.0,0.7,67.4,0.665,1.75,47.8,27.3,56.5,23,13,53.3,15,8,62.5,8,5,54.5,11,6,11,8,3,0.247,0.6,0.1,0.5
2007,20062007,2,Air Force,Mountain West,85854,Dan Nwaelele,F,34,20,1097,476,59,59,63,30,8,23.2,120.6,134.7,-14.1,4.0,62.2,0.666,1.07,37.1,20.7,50.8,307,156,58.9,146,86,43.5,161,70,82.5,114,94,121,96,25,0.142,3.9,-1.7,5.6
2007,20062007,2,Air Force,Mountain West,85855,Ryan Teets,F,24,0,131,20,9,15,6,2,0,12.4,84.3,128.6,-44.3,0.0,56.3,0.563,0.67,25.0,11.1,43.8,16,7,50.0,6,3,40.0,10,4,50.0,4,2,18,16,2,-0.061,-0.2,-0.1,-0.1
2007,20062007,2,Air Force,Mountain West,85856,Jacob Burtschi,F,34,20,1093,454,33,81,81,53,3,22.2,126.4,124.1,2.3,4.5,59.3,0.623,2.45,28.4,22.4,50.0,324,162,60.4,169,102,38.7,155,60,76.1,92,70,201,156,45,0.216,5.9,-0.6,6.5
2007,20062007,2,Air Force,Mountain West,85857,John Frye,C,32,0,288,55,19,37,22,3,15,16.5,91.3,125.0,-33.7,0.1,41.8,0.469,1.16,44.9,24.5,36.7,49,18,41.9,31,13,27.8,18,5,63.6,22,14,53,40,13,-0.028,-0.2,-0.2,0.0
2007,20062007,2,Air Force,Mountain West,85858,Nick Welch,C,34,20,923,340,65,69,70,23,12,23.0,108.2,132.6,-24.4,2.1,56.3,0.604,1.08,41.6,19.0,51.7,238,123,62.0,163,101,29.3,75,22,72.7,99,72,121,98,23,0.061,1.4,-1.3,2.7
2007,20062007,2,Air Force,Mountain West,85859,Matt McCraw,G,32,20,1101,343,47,54,97,29,1,17.3,122.4,131.3,-8.9,3.4,60.5,0.649,2.06,29.5,12.7,45.7,234,107,44.2,86,38,46.6,148,69,87.0,69,60,118,103,15,0.109,3.0,-1.4,4.4
2007,20062007,2,Air Force,Mountain West,85860,Ryan Hess,F,1,0,3,0,0,0,0,0,0,0.0,,,,,,,,,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,,
2007,20062007,3,Akron,MAC,77687,John Rybak,F,18,0,93,33,8,14,5,7,0,24.4,89.9,144.4,-54.5,0.0,47.1,0.467,0.63,8.8,35.7,44.1,34,15,81.3,16,13,11.1,18,2,33.3,3,1,14,9,5,-0.086,-0.2,-0.2,0.0
2007,20062007,3,Akron,MAC,78563,Tim Carroll,F,6,0,15,5,0,1,2,0,0,16.5,140.6,146.2,-5.6,0.4,50.0,0.512,,50.0,40.0,50.0,4,2,66.7,3,2,0.0,1,0,50.0,2,1,5,3,2,0.267,0.1,0.0,0.1
2007,20062007,3,Akron,MAC,78564,Chris McKnight,F,28,0,167,52,12,17,9,3,5,20.5,100.5,165.6,-65.1,0.2,42.2,0.491,0.75,40.0,31.3,40.0,45,18,40.0,40,16,40.0,5,2,77.8,18,14,48,33,15,-0.072,-0.3,-0.7,0.4
2007,20062007,3,Akron,MAC,78565,Jimmy Conyers,F,29,5,236,60,19,35,8,13,4,18.4,88.8,152.6,-63.8,0.0,45.3,0.479,0.42,41.5,37.5,39.6,53,21,36.6,41,15,50.0,12,6,54.5,22,12,48,30,18,-0.153,-0.9,-0.8,-0.1
2007,20062007,3,Akron,MAC,80603,Nate Linhart,F,28,11,616,170,28,69,36,34,10,15.6,113.7,155.2,-41.5,1.4,54.3,0.565,1.29,20.3,27.5,44.9,138,62,43.9,82,36,46.4,56,26,71.4,28,20,109,79,30,0.013,0.2,-2.1,2.3
2007,20062007,3,Akron,MAC,84007,Quade Milum,F,30,2,571,185,22,69,16,9,31,15.4,124.5,168.8,-44.3,1.7,62.2,0.65,0.73,44.5,40.0,62.2,119,74,64.9,114,74,0.0,5,0,69.8,53,37,90,54,36,0.028,0.4,-2.7,3.1
2007,20062007,3,Akron,MAC,84008,Jeremiah Wood,F,29,15,696,301,62,68,49,28,11,24.1,110.6,141.7,-31.1,2.1,58.4,0.6,0.79,55.0,33.0,58.4,202,118,58.4,202,118,0.0,0,0,58.6,111,65,227,152,75,0.115,2.0,-1.5,3.5
2007,20062007,3,Akron,MAC,84009,Jeremy Sallee,G,16,0,56,2,14,4,16,7,0,17.0,58.3,156.3,-98.0,-0.3,25.0,0.25,1.14,0.0,33.3,25.0,4,1,50.0,2,1,0.0,2,0,0.0,0,0,6,4,2,-0.643,-0.9,-0.2,-0.7
2007,20062007,3,Akron,MAC,84010,Cedrick Middleton,G,30,0,779,338,43,64,47,34,3,22.7,116.2,169.7,-53.5,2.7,56.0,0.588,1.09,32.1,20.9,45.6,252,115,52.5,120,63,39.4,132,52,69.1,81,56,67,53,14,0.031,0.6,-3.8,4.4
2007,20062007,3,Akron,MAC,84011,Nick Dials,G,30,16,934,309,42,58,83,47,1,16.4,126.9,168.5,-41.6,3.2,60.3,0.633,1.98,21.5,29.9,47.1,223,105,51.1,90,46,44.4,133,59,83.3,48,40,87,61,26,0.064,1.5,-4.4,5.9
2007,20062007,3,Akron,MAC,84012,Nick Goddard,G,13,0,40,37,3,2,0,1,0,43.5,111.2,143.2,-32.0,0.5,61.7,0.608,0.0,3.3,33.3,43.3,30,13,100.0,2,2,39.3,28,11,0.0,1,0,6,4,2,0.2,0.2,-0.1,0.3
2007,20062007,3,Akron,MAC,86634,Romeo Travis,F,30,15,862,446,54,84,50,33,59,27.7,115.8,157.1,-41.3,3.6,52.3,0.566,0.93,50.6,42.5,51.9,322,167,52.1,315,164,42.9,7,3,66.9,163,109,174,100,74,0.139,3.0,-3.1,6.1
2007,20062007,3,Akron,MAC,86635,Dru Joyce III,G,30,16,965,301,65,65,130,26,1,18.1,114.1,176.5,-62.4,2.4,54.5,0.574,2.0,39.9,13.0,41.3,223,92,44.6,74,33,39.6,149,59,65.2,89,58,69,60,9,-0.033,-0.8,-5.3,4.5
2007,20062007,3,Akron,MAC,86636,Zach Sowers,G,8,0,19,6,0,0,0,1,0,23.7,91.1,141.3,-50.2,0.0,33.3,0.333,,0.0,66.7,33.3,9,3,75.0,4,3,0.0,5,0,0.0,0,0,3,1,2,0.0,0.0,0.0,0.0
2007,20062007,4,Alabama A&M,SWAC,75624,Trant Simpson,G,28,3,951,364,140,54,167,46,2,26.2,88.3,923.1,-834.8,0.0,38.7,0.483,1.19,49.8,28.1,35.9,309,111,39.2,240,94,24.6,69,17,81.2,154,125,89,64,25,-3.285,-78.1,-71.2,-6.9
2007,20062007,4,Alabama A&M,SWAC,76109,Jonathan Inman,F,28,3,463,150,24,55,9,18,8,16.4,101.4,840.8,-739.4,0.6,58.8,0.563,0.38,69.6,35.9,58.8,102,60,58.8,102,60,0.0,0,0,42.3,71,30,92,59,33,-2.238,-25.9,-31.1,5.2
2007,20062007,4,Alabama A&M,SWAC,76114,Cornelius Hester,G,30,2,776,313,40,43,28,27,1,23.1,94.9,1002.7,-907.8,0.7,45.6,0.474,0.7,11.1,31.3,35.2,315,111,49.5,93,46,29.3,222,65,74.3,35,26,64,44,20,-3.088,-59.9,-63.8,3.9
2007,20062007,4,Alabama A&M,SWAC,77254,Evan Hilton,G,29,0,668,199,79,94,45,33,2,22.6,76.3,878.5,-802.2,-1.0,36.8,0.429,0.57,50.0,32.2,33.2,190,63,38.3,128,49,22.6,62,14,62.1,95,59,115,78,37,-3.904,-65.2,-47.2,-18.0
2007,20062007,4,Alabama A&M,SWAC,80750,Jonathan Belt,F,28,0,419,146,23,46,5,13,5,19.1,96.2,870.8,-774.6,0.4,50.0,0.516,0.22,36.1,38.4,50.0,122,61,50.0,122,61,0.0,0,0,54.5,44,24,86,53,33,-2.568,-26.9,-29.3,2.4
2007,20062007,4,Alabama A&M,SWAC,80752,Kudus Ogbara,F,6,0,82,25,6,12,2,4,1,14.1,107.7,,,0.6,67.6,0.699,0.33,11.8,36.4,64.7,17,11,62.5,16,10,100.0,1,1,100.0,2,2,11,7,4,,,,
2007,20062007,4,Alabama A&M,SWAC,81488,LaNorris Smith,F,29,3,585,191,63,52,13,14,6,22.6,76.3,937.7,-861.4,-0.9,43.0,0.455,0.21,21.4,26.5,34.9,192,67,40.9,88,36,29.8,104,31,63.4,41,26,68,50,18,-4.068,-59.5,-44.6,-14.9
2007,20062007,4,Alabama A&M,SWAC,81489,Norris Arnold,F-C,29,0,284,28,25,49,5,16,8,11.7,51.3,843.6,-792.3,-0.7,30.3,0.318,0.2,75.8,35.2,30.3,33,10,31.3,32,10,0.0,1,0,32.0,25,8,54,35,19,-4.225,-30.0,-19.2,-10.8
2007,20062007,4,Alabama A&M,SWAC,81490,Mickell Gladness,F-C,30,3,875,229,53,78,15,16,188,16.2,87.9,759.5,-671.6,0.0,43.1,0.479,0.28,48.7,21.4,43.1,197,85,43.4,196,85,0.0,1,0,61.5,96,59,229,180,49,-2.583,-56.5,-52.2,-4.3
2007,20062007,4,Alabama A&M,SWAC,81492,Andrew Williams,G-F,6,0,95,31,11,11,3,2,2,22.6,80.8,507.4,-426.6,-0.4,42.0,0.497,0.27,56.0,33.3,36.0,25,9,66.7,9,6,18.8,16,3,71.4,14,10,12,8,4,-1.811,-4.3,-3.5,-0.8
2007,20062007,4,Alabama A&M,SWAC,85250,Ryan Parker,F,18,0,157,20,8,18,4,3,3,10.0,73.0,619.7,-546.7,-0.2,38.1,0.401,0.5,42.9,42.1,38.1,21,8,38.1,21,8,0.0,0,0,44.4,9,4,19,11,8,-2.242,-8.8,-7.3,-1.5
2007,20062007,4,Alabama A&M,SWAC,85251,Julian Gladness,F,20,0,88,20,8,11,0,2,3,17.7,69.5,1334.3,-1264.8,-0.2,37.5,0.402,0.0,8.3,50.0,37.5,24,9,37.5,24,9,0.0,0,0,100.0,2,2,20,10,10,-6.273,-13.8,-10.0,-3.8
2007,20062007,4,Alabama A&M,SWAC,85252,Johnnie Brown,G,29,1,582,140,46,77,28,30,7,17.4,78.5,901.8,-823.3,-0.5,40.2,0.43,0.61,31.5,34.2,33.6,143,48,45.3,64,29,24.1,79,19,55.6,45,25,73,48,25,-3.608,-52.5,-42.4,-10.1
2007,20062007,5,Alabama,SEC,74879,Justin Tubbs,G,28,0,270,89,11,22,9,15,0,15.6,122.0,211.0,-89.0,0.8,61.9,0.619,0.82,16.4,47.6,47.8,67,32,65.0,20,13,40.4,47,19,54.5,11,6,21,11,10,-0.119,-0.8,-2.3,1.5
2007,20062007,5,Alabama,SEC,75839,Demetrius Jemison,F,32,0,423,94,29,57,16,7,13,14.5,98.2,210.4,-112.2,0.3,44.7,0.512,0.55,47.4,43.9,44.7,76,34,44.7,76,34,0.0,0,0,72.2,36,26,107,60,47,-0.303,-3.2,-3.7,0.5
2007,20062007,5,Alabama,SEC,78130,Avery Jukes,F,3,0,7,0,2,2,0,0,1,13.0,,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3,3,0,,,,
2007,20062007,5,Alabama,SEC,78202,Yamene Coleman,C,21,0,195,37,11,18,2,4,6,14.5,80.4,259.9,-179.5,-0.2,41.2,0.415,0.18,70.6,25.5,41.2,34,14,41.2,34,14,0.0,0,0,37.5,24,9,51,38,13,-0.656,-3.2,-2.6,-0.6
2007,20062007,5,Alabama,SEC,78233,Mikhail Torrance,G,21,0,245,62,26,11,28,6,2,18.5,88.8,329.4,-240.6,0.0,42.4,0.476,1.08,23.7,18.2,39.0,59,23,48.7,39,19,20.0,20,4,85.7,14,12,22,18,4,-0.833,-5.1,-4.8,-0.3
2007,20062007,5,Alabama,SEC,78235,Greg Cage,G,4,0,10,4,1,0,1,0,0,14.6,131.2,,,0.3,100.0,1.0,1.0,0.0,100.0,100.0,2,2,100.0,2,2,0.0,0,0,0.0,0,0,1,0,1,,,,
2007,20062007,5,Alabama,SEC,80915,Alonzo Gee,G,32,14,927,403,76,76,44,40,16,24.5,105.8,210.1,-104.3,2.0,50.8,0.541,0.58,38.2,46.5,46.4,319,148,50.8,236,120,33.7,83,28,64.8,122,79,170,91,79,-0.173,-4.0,-8.0,4.0
2007,20062007,5,Alabama,SEC,80916,Ronald Steele,G,26,12,818,223,59,25,105,17,3,16.4,108.6,213.3,-104.7,1.7,50.8,0.55,1.78,21.6,15.6,38.4,185,71,33.8,74,25,41.4,111,46,87.5,40,35,45,38,7,-0.225,-4.6,-7.3,2.7
