season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,defensiveRating,netRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive
2011,20102011,2,Air Force,Mountain West,66039,Zach Bohannon,F,22,1,297,94,23,48,26,8,6,20.1,103.9,102.5,1.4,0.7,57.9,0.624,1.13,44.4,18.6,49.2,63,31,60.6,33,20,36.7,30,11,75.0,28,21,43,35,8,0.094,0.7,0.4,0.3
2011,20102011,2,Air Force,Mountain West,66086,Chase Kammerer,F,1,0,8,0,1,3,1,0,0,16.7,44.9,89.5,-44.6,-1.0,0.0,0.0,1.0,100.0,100.0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,1,0,1,0.0,0.0,0.0,0.0
2011,20102011,2,Air Force,Mountain West,72790,Adam Brakeville,F,19,0,53,6,3,13,1,1,1,10.2,87.2,102.8,-15.6,0.0,40.0,0.51,0.33,40.0,28.6,40.0,5,2,40.0,5,2,0.0,0,0,100.0,2,2,14,10,4,0.075,0.1,0.1,0.0
2011,20102011,2,Air Force,Mountain West,72791,Mike Fitzgerald,F,32,0,400,105,15,40,13,13,3,15.0,107.4,112.6,-5.2,0.6,59.9,0.626,0.87,23.7,16.2,48.7,76,37,60.6,33,20,39.5,43,17,77.8,18,14,37,31,6,0.07,0.7,0.2,0.5
2011,20102011,2,Air Force,Mountain West,72792,Taylor Stewart,G-F,28,1,423,90,30,29,37,12,5,17.3,90.2,114.4,-24.2,0.1,46.5,0.495,1.23,59.7,35.6,45.8,72,33,49.2,65,32,14.3,7,1,53.5,43,23,45,29,16,0.0,0.0,0.1,-0.1
2011,20102011,2,Air Force,Mountain West,72793,Taylor Broekhuis,C,30,27,732,226,48,74,41,16,16,20.1,99.1,112.2,-13.1,0.9,55.8,0.584,0.85,40.9,19.6,50.0,164,82,61.2,103,63,31.1,61,19,64.2,67,43,102,82,20,0.049,0.9,0.4,0.5
2011,20102011,2,Air Force,Mountain West,72795,Kyle Green,G,5,0,10,5,0,0,1,0,0,24.0,134.6,115.1,19.5,0.4,62.5,0.625,,0.0,100.0,50.0,4,2,100.0,1,1,33.3,3,1,0.0,0,0,1,0,1,0.4,0.1,0.0,0.1
2011,20102011,2,Air Force,Mountain West,72796,Michael Lyons,G,31,28,943,424,72,72,60,32,11,27.5,105.4,112.7,-7.3,2.3,53.9,0.598,0.83,44.9,28.4,49.7,296,147,56.0,218,122,32.1,78,25,78.9,133,105,109,78,31,0.098,2.3,0.5,1.8
2011,20102011,2,Air Force,Mountain West,72797,Todd Fletcher,G,32,29,867,153,42,68,90,30,4,12.7,102.8,111.9,-9.1,0.8,50.4,0.551,2.14,29.3,7.5,42.3,123,52,53.3,60,32,31.7,63,20,80.6,36,29,80,74,6,0.055,1.2,0.5,0.7
2011,20102011,2,Air Force,Mountain West,72798,Scott Stucky,G,2,0,11,4,0,0,0,0,0,31.6,75.7,164.1,-88.4,-0.4,33.3,0.333,,0.0,,33.3,6,2,66.7,3,2,0.0,3,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
2011,20102011,2,Air Force,Mountain West,72799,Shawn Hempsey,G,25,0,198,27,13,14,21,7,0,14.3,80.6,111.1,-30.5,-0.1,32.8,0.399,1.62,37.9,8.3,31.0,29,9,38.1,21,8,12.5,8,1,72.7,11,8,24,22,2,-0.02,-0.1,0.1,-0.2
2011,20102011,2,Air Force,Mountain West,76260,Tom Fow,F,32,29,776,379,25,51,29,20,6,25.5,115.7,110.5,5.2,2.7,60.3,0.63,1.16,20.3,13.5,47.1,276,130,48.7,117,57,45.9,159,73,82.1,56,46,111,96,15,0.144,2.8,0.6,2.2
2011,20102011,2,Air Force,Mountain West,76261,Evan Washington,G,32,29,1023,238,61,61,127,37,20,18.2,97.8,108.3,-10.5,0.9,44.6,0.486,2.08,56.6,15.2,43.9,196,86,44.9,185,83,27.3,11,3,56.8,111,63,145,123,22,0.059,1.5,0.9,0.6
2011,20102011,2,Air Force,Mountain West,76262,Myles Jerrett,F,2,0,3,2,0,3,0,0,0,17.6,200.0,76.7,123.3,0.5,100.0,1.0,,0.0,0.0,100.0,1,1,100.0,1,1,0.0,0,0,0.0,0,0,2,2,0,0.0,0.0,0.0,0.0
2011,20102011,2,Air Force,Mountain West,76263,Derek Brooks,F,32,1,725,319,42,85,47,23,11,25.0,111.2,107.1,4.1,2.1,58.5,0.622,1.12,39.9,15.9,49.1,218,107,54.1,122,66,42.7,96,41,73.6,87,64,126,106,20,0.132,2.4,0.7,1.7
2011,20102011,2,Air Force,Mountain West,76264,Jamil Bailey,G,5,0,6,2,0,2,0,1,0,19.3,103.4,122.4,-19.0,0.1,50.0,0.5,,0.0,0.0,50.0,2,1,100.0,1,1,0.0,1,0,0.0,0,0,1,1,0,0.0,0.0,0.0,0.0
2011,20102011,3,Akron,MAC,66966,Quincy Diggs,F,36,1,599,189,49,62,43,28,3,19.4,99.3,110.4,-11.1,0.6,52.4,0.567,0.88,37.8,27.5,46.9,143,67,50.0,102,51,39.0,41,16,72.2,54,39,102,74,28,0.06,0.9,0.4,0.5
2011,20102011,3,Akron,MAC,70773,Dakotah Euton,F,14,0,67,16,0,7,1,0,1,18.7,89.9,155.9,-66.0,0.0,30.0,0.353,,30.0,33.3,20.0,20,4,0.0,7,0,30.8,13,4,66.7,6,4,12,8,4,-0.119,-0.2,-0.2,0.0
2011,20102011,3,Akron,MAC,71168,Nikola Cvetinovic,F,36,32,997,422,75,101,74,40,5,26.5,101.0,108.4,-7.4,1.5,45.3,0.509,0.99,41.3,32.4,45.3,351,159,45.7,348,159,0.0,3,0,71.7,145,104,250,169,81,0.096,2.4,0.9,1.5
2011,20102011,3,Akron,MAC,71169,Zeke Marshall,C,36,30,807,307,45,121,27,14,92,22.4,102.0,106.8,-4.8,1.1,50.4,0.529,0.6,43.0,36.0,50.4,244,123,50.6,243,123,0.0,1,0,58.1,105,61,175,112,63,0.099,2.0,0.9,1.1
2011,20102011,3,Akron,MAC,71170,Alex Abreu,G,36,12,708,238,81,70,128,45,2,23.6,96.8,111.8,-15.0,0.6,47.0,0.52,1.58,36.5,27.0,38.1,197,75,38.1,105,40,38.0,92,35,73.6,72,53,63,46,17,0.051,0.9,0.4,0.5
2011,20102011,3,Akron,MAC,71171,Brett McClanahan,G,36,31,938,360,43,65,51,32,4,20.4,110.7,114.4,-3.7,1.9,55.8,0.576,1.19,9.3,24.8,42.3,300,127,50.0,92,46,38.9,208,81,89.3,28,25,129,97,32,0.098,2.3,0.3,2.0
2011,20102011,3,Akron,MAC,71173,Josh Egner,F,19,0,116,33,7,21,1,2,6,18.7,87.9,136.2,-48.3,0.0,48.1,0.498,0.14,51.9,22.7,48.1,27,13,52.0,25,13,0.0,2,0,50.0,14,7,22,17,5,-0.103,-0.3,-0.2,-0.1
2011,20102011,3,Akron,MAC,71174,C.J. Oldham,F,8,0,23,0,3,2,2,1,1,13.7,21.3,108.6,-87.3,-0.4,0.0,0.0,0.67,0.0,0.0,0.0,3,0,0.0,2,0,0.0,1,0,0.0,0,0,3,3,0,-0.348,-0.2,0.0,-0.2
2011,20102011,3,Akron,MAC,71177,Brian Walsh,G,1,0,0,0,1,0,0,0,0,,,,,,,,0.0,,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,,
2011,20102011,3,Akron,MAC,71178,Kyle Petersen,G,7,0,14,3,0,2,0,1,0,20.2,68.5,112.2,-43.7,-0.1,20.0,0.276,,20.0,0.0,20.0,5,1,100.0,1,1,0.0,4,0,100.0,1,1,2,2,0,-0.286,-0.1,0.0,-0.1
2011,20102011,3,Akron,MAC,74973,Darryl Roberts,G,36,20,992,305,40,41,62,26,1,15.9,115.9,117.4,-1.5,1.9,55.5,0.603,1.55,23.6,16.7,44.5,229,102,53.1,98,52,38.2,131,50,94.4,54,51,102,85,17,0.093,2.3,0.1,2.2
2011,20102011,3,Akron,MAC,74974,Steve McNees,G,36,32,1135,308,43,64,102,27,4,17.0,103.2,118.2,-15.0,1.3,45.4,0.488,2.37,27.8,6.5,33.5,281,94,38.6,70,27,31.8,211,67,67.9,78,53,93,87,6,0.046,1.3,0.0,1.3
2011,20102011,3,Akron,MAC,74975,Brett McKnight,F,29,0,520,295,27,70,22,16,2,30.4,108.8,105.3,3.5,1.8,51.7,0.553,0.81,29.7,23.3,45.3,236,107,48.7,158,77,38.5,78,30,72.9,70,51,86,66,20,0.146,1.9,0.6,1.3
2011,20102011,3,Akron,MAC,74976,Mike Bardo,C,36,1,409,48,14,66,7,8,8,8.0,97.3,114.9,-17.6,0.1,54.1,0.514,0.5,59.5,44.9,54.1,37,20,54.1,37,20,0.0,0,0,36.4,22,8,78,43,35,0.02,0.2,0.1,0.1
2011,20102011,4,Alabama A&M,SWAC,61147,Jerome Hunter,F,28,5,484,96,31,58,13,10,16,14.3,79.2,378.0,-298.8,-0.4,40.6,0.433,0.42,35.4,31.1,40.6,96,39,40.6,96,39,0.0,0,0,52.9,34,18,103,71,32,-1.182,-14.3,-11.7,-2.6
2011,20102011,4,Alabama A&M,SWAC,67522,Justan Banks,C,12,0,57,2,1,10,1,0,3,6.7,40.5,710.2,-669.7,-0.2,14.3,0.143,1.0,0.0,20.0,14.3,7,1,16.7,6,1,0.0,1,0,0.0,0,0,5,4,1,-2.947,-4.2,-3.2,-1.0
2011,20102011,4,Alabama A&M,SWAC,67523,Jeremy Crutcher,G,28,3,716,157,80,67,94,41,0,17.9,77.8,378.2,-300.4,-0.8,35.2,0.428,1.18,52.3,17.5,32.2,149,48,33.3,117,39,28.1,32,9,66.7,78,52,80,66,14,-1.296,-23.2,-17.3,-5.9
2011,20102011,4,Alabama A&M,SWAC,67524,Brandon Ellis,G,12,0,40,11,6,4,1,0,0,22.8,71.1,709.7,-638.6,-0.2,25.0,0.407,0.17,80.0,70.0,20.0,10,2,16.7,6,1,25.0,4,1,75.0,8,6,10,3,7,-3.3,-3.3,-2.2,-1.1
2011,20102011,4,Alabama A&M,SWAC,67526,Demarquelle Tabb,G,26,0,587,235,42,64,20,30,44,21.8,100.7,310.0,-209.3,1.0,50.0,0.538,0.48,68.5,39.7,50.0,168,84,50.3,167,84,0.0,1,0,58.3,115,67,156,94,62,-0.504,-7.4,-10.5,3.1
2011,20102011,4,Alabama A&M,SWAC,72600,Reggie Martin,F,9,0,32,4,4,8,0,0,0,13.8,43.9,574.1,-530.2,-0.4,40.0,0.368,0.0,20.0,50.0,40.0,5,2,40.0,5,2,0.0,0,0,0.0,1,0,2,1,1,-2.875,-2.3,-1.4,-0.9
2011,20102011,4,Alabama A&M,SWAC,72602,Diamon Alexander,G-F,25,0,211,57,10,21,9,7,3,18.8,83.9,356.7,-272.8,-0.1,39.2,0.406,0.9,18.5,33.3,32.3,65,21,42.9,28,12,24.3,37,9,50.0,12,6,21,14,7,-1.043,-5.5,-4.7,-0.8
2011,20102011,4,Alabama A&M,SWAC,72603,Casey Cantey,G-F,28,5,777,348,66,60,33,34,21,25.9,94.9,372.3,-277.4,0.8,43.8,0.5,0.5,53.2,29.3,40.1,282,113,46.2,199,92,25.3,83,21,67.3,150,101,133,94,39,-0.855,-16.6,-18.4,1.8
2011,20102011,4,Alabama A&M,SWAC,76108,Bo Amusa,F,28,5,559,233,28,55,17,25,37,21.2,105.4,354.7,-249.3,1.2,51.4,0.541,0.61,38.6,32.4,49.5,184,91,49.7,169,84,46.7,15,7,62.0,71,44,111,75,36,-0.551,-7.7,-12.3,4.6
2011,20102011,4,Alabama A&M,SWAC,76109,Jonathan Inman,F,22,0,359,124,29,57,17,8,19,17.7,101.6,289.5,-187.9,0.6,58.7,0.599,0.59,146.0,27.0,58.7,63,37,58.7,63,37,0.0,0,0,54.3,92,50,89,65,24,-0.468,-4.2,-5.7,1.5
2011,20102011,4,Alabama A&M,SWAC,76110,Quintarius Hutchinson,G-F,4,0,22,1,4,8,2,1,0,23.0,21.9,,,-1.4,0.0,0.063,0.5,28.6,20.0,0.0,7,0,0.0,1,0,0.0,6,0,50.0,2,1,5,4,1,,,,
2011,20102011,4,Alabama A&M,SWAC,76111,Reggie Porter,G,19,1,127,33,13,15,18,3,0,18.3,87.1,298.7,-211.6,0.0,33.9,0.459,1.38,64.3,50.0,32.1,28,9,42.1,19,8,11.1,9,1,77.8,18,14,8,4,4,-0.724,-2.3,-2.1,-0.2
2011,20102011,4,Alabama A&M,SWAC,76112,Jabari Deshields,G,28,1,303,40,36,40,35,20,1,13.9,65.7,373.7,-308.0,-0.5,33.7,0.393,0.97,41.9,34.3,30.2,43,13,30.3,33,10,30.0,10,3,61.1,18,11,35,23,12,-1.452,-11.0,-7.2,-3.8
2011,20102011,4,Alabama A&M,SWAC,76113,Desmond Jackson,G,28,0,537,139,33,51,31,19,3,17.7,84.4,394.0,-309.6,-0.2,41.7,0.429,0.94,16.6,24.6,33.8,151,51,40.3,67,27,28.6,84,24,52.0,25,13,65,49,16,-1.184,-15.9,-13.8,-2.1
2011,20102011,4,Alabama A&M,SWAC,76114,Cornelius Hester,G,28,5,809,328,52,42,48,35,4,24.7,92.7,389.4,-296.7,0.5,43.4,0.458,0.92,13.0,26.9,36.0,339,122,38.5,187,72,32.9,152,50,77.3,44,34,104,76,28,-0.984,-19.9,-20.4,0.5
2011,20102011,4,Alabama A&M,SWAC,76115,Chris Burks,F-C,2,0,7,0,0,2,0,0,0,0.0,,152.9,,,,,,,100.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,1,,,0.0,
2011,20102011,5,Alabama,SEC,62046,Kendall Durant,G,8,0,74,21,7,4,3,1,0,18.3,94.0,107.0,-13.0,0.2,44.1,0.535,0.43,35.3,50.0,35.3,17,6,33.3,9,3,37.5,8,3,100.0,6,6,6,3,3,0.054,0.1,0.1,0.0
2011,20102011,5,Alabama,SEC,63168,Charles Hankerson Jr.,G,26,5,291,59,13,18,14,14,1,16.2,82.5,114.4,-31.9,-0.2,36.1,0.377,1.08,19.4,19.4,30.6,72,22,36.8,38,14,23.5,34,8,50.0,14,7,31,25,6,-0.027,-0.2,0.1,-0.3
2011,20102011,5,Alabama,SEC,66162,Trevor Releford,G,37,35,1158,408,96,89,125,60,3,21.0,104.9,104.5,0.4,1.8,50.9,0.556,1.3,35.6,19.7,47.9,317,152,53.4,249,133,27.9,68,19,75.2,113,85,122,98,24,0.117,3.4,1.5,1.9
2011,20102011,5,Alabama,SEC,66163,Carl Engstrom,C,21,0,112,9,8,10,2,4,8,12.4,52.2,107.8,-55.6,-0.4,17.6,0.234,0.25,29.4,32.0,17.6,17,3,17.6,17,3,0.0,0,0,60.0,5,3,25,17,8,-0.107,-0.3,0.1,-0.4
2011,20102011,5,Alabama,SEC,67231,Ben Eblen,G,37,1,340,23,27,56,34,18,1,8.7,66.9,104.2,-37.3,-0.3,38.5,0.395,1.26,26.9,10.3,38.5,26,10,47.6,21,10,0.0,5,0,42.9,7,3,29,26,3,-0.012,-0.1,0.4,-0.5
2011,20102011,5,Alabama,SEC,71382,Tony Mitchell,F,37,32,1167,564,64,89,49,59,41,24.9,116.1,98.6,17.5,3.6,55.7,0.577,0.77,26.8,37.2,52.2,437,228,58.1,339,197,31.6,98,31,65.8,117,77,261,164,97,0.202,5.9,2.1,3.8
2011,20102011,5,Alabama,SEC,71383,JaMychal Green,F,34,32,948,527,95,111,49,49,70,31.0,108.8,97.2,11.6,2.9,50.9,0.571,0.52,52.9,41.4,50.8,374,190,50.7,373,189,100.0,1,1,73.7,198,146,256,150,106,0.203,4.8,1.9,2.9
2011,20102011,5,Alabama,SEC,71385,Andrew Steele,G,19,2,348,76,13,26,11,11,1,13.6,105.1,96.8,8.3,0.7,43.4,0.506,0.85,52.5,36.0,39.3,61,24,45.2,42,19,26.3,19,5,71.9,32,23,50,32,18,0.115,1.0,0.7,0.3
2011,20102011,5,Alabama,SEC,75423,Senario Hillman,G,37,12,773,238,62,99,62,50,6,21.9,91.8,102.5,-10.7,0.3,42.3,0.457,1.0,18.3,39.4,39.8,241,96,45.4,185,84,21.4,56,12,77.3,44,34,94,57,37,0.057,1.1,1.1,0.0
2011,20102011,5,Alabama,SEC,75424,Jason Carter,F,16,0,96,22,13,16,2,3,1,22.7,62.9,90.5,-27.6,-0.6,27.1,0.37,0.15,54.2,17.9,25.0,24,6,26.3,19,5,20.0,5,1,69.2,13,9,28,23,5,-0.083,-0.2,0.2,-0.4
2011,20102011,5,Alabama,SEC,75425,Justin Luquire,F,9,0,23,6,1,1,1,0,0,15.1,95.4,94.8,0.6,0.0,60.0,0.51,1.0,40.0,25.0,60.0,5,3,75.0,4,3,0.0,1,0,0.0,2,0,4,3,1,0.174,0.1,0.1,0.0
2011,20102011,5,Alabama,SEC,75426,Chris Hines,F,37,35,1057,204,63,111,47,54,55,13.1,95.0,97.4,-2.4,0.4,47.9,0.511,0.75,41.4,34.7,47.9,169,81,48.5,167,81,0.0,2,0,60.0,70,42,225,147,78,0.087,2.3,2.0,0.3
2011,20102011,5,Alabama,SEC,75427,Charvez Davis,G,37,26,1044,313,45,42,53,28,3,18.0,104.8,110.2,-5.4,1.4,48.2,0.502,1.18,10.4,11.4,36.2,298,108,39.8,93,37,34.6,205,71,83.9,31,26,79,70,9,0.08,2.1,0.8,1.3
2011,20102011,5,Alabama,SEC,75428,Hunter Jeffery,G,7,0,21,3,0,0,2,0,0,19.5,69.9,96.8,-26.9,-0.2,18.8,0.188,,0.0,50.0,12.5,8,1,0.0,0,0,12.5,8,1,0.0,0,0,2,1,1,0.0,0.0,0.0,0.0
