season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,defensiveRating,netRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive
2008,20072008,2,Air Force,Mountain West,76260,Tom Fow,F,9,0,35,7,3,4,3,0,0,22.5,71.1,131.3,-60.2,-0.2,33.3,0.354,1.0,22.2,14.3,22.2,9,2,0.0,0,0,22.2,9,2,50.0,2,1,7,6,1,-0.229,-0.2,0.0,-0.2
2008,20072008,2,Air Force,Mountain West,76261,Evan Washington,G,30,24,1006,206,68,53,47,25,6,16.2,87.9,131.7,-43.8,0.0,54.1,0.553,0.69,39.0,19.7,47.2,159,75,50.5,105,53,40.7,54,22,54.8,62,34,117,94,23,-0.072,-1.8,-1.3,-0.5
2008,20072008,2,Air Force,Mountain West,76263,Derek Brooks,F,14,0,58,11,5,8,3,0,1,22.2,59.4,146.8,-87.4,-0.4,34.4,0.344,0.6,0.0,0.0,31.3,16,5,50.0,8,4,12.5,8,1,0.0,0,0,8,8,0,-0.414,-0.6,-0.2,-0.4
2008,20072008,2,Air Force,Mountain West,78043,Grant Parker,F-C,5,0,24,9,1,2,0,1,0,23.1,106.9,120.0,-13.1,0.3,40.0,0.528,0.0,160.0,28.6,40.0,5,2,50.0,4,2,0.0,1,0,62.5,8,5,7,5,2,0.167,0.1,0.0,0.1
2008,20072008,2,Air Force,Mountain West,78045,Mike McLain,C,3,0,5,0,1,4,0,0,0,45.6,13.8,167.6,-153.8,-0.9,0.0,0.0,0.0,0.0,100.0,0.0,3,0,0.0,3,0,0.0,0,0,0.0,0,0,1,0,1,-2.4,-0.3,0.0,-0.3
2008,20072008,2,Air Force,Mountain West,78046,Avery Merriex,G,7,0,17,0,2,1,0,0,0,20.5,16.4,165.7,-149.3,-0.6,0.0,0.0,0.0,0.0,50.0,0.0,4,0,0.0,4,0,0.0,0,0,0.0,0,0,4,2,2,-0.941,-0.4,-0.1,-0.3
2008,20072008,2,Air Force,Mountain West,78047,Saj El-Amin,G,17,0,24,4,2,8,0,0,0,15.4,74.6,125.5,-50.9,0.0,33.3,0.515,0.0,66.7,33.3,33.3,3,1,33.3,3,1,0.0,0,0,100.0,2,2,3,2,1,0.0,0.0,0.0,0.0
2008,20072008,2,Air Force,Mountain West,80141,Matt Holland,F,30,24,511,150,27,45,18,11,4,19.2,99.8,132.8,-33.0,0.6,57.5,0.592,0.67,12.5,27.9,45.0,120,54,55.8,43,24,39.0,77,30,80.0,15,12,61,44,17,-0.008,-0.1,-0.7,0.6
2008,20072008,2,Air Force,Mountain West,80142,Anwar Johnson,F,30,25,945,225,47,83,72,25,5,18.0,101.4,132.2,-30.8,1.2,42.3,0.513,1.53,92.3,27.1,41.0,156,64,43.2,139,60,23.5,17,4,64.6,144,93,107,78,29,0.004,0.1,-1.2,1.3
2008,20072008,2,Air Force,Mountain West,80143,Andrew Henke,G-F,30,0,837,340,59,82,46,13,4,25.2,104.5,128.0,-23.5,1.9,60.1,0.628,0.78,36.9,5.9,47.2,233,110,55.6,90,50,42.0,143,60,69.8,86,60,135,127,8,0.053,1.1,-0.8,1.9
