season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,defensiveRating,netRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive
2017,20162017,1,Abilene Christian,Southland,25994,B.J. Maxwell,G,17,0,179,58,12,30,10,5,3,17.5,106.3,109.1,-2.8,0.5,62.0,0.624,0.83,2.2,40.6,50.0,46,23,52.2,23,12,47.8,23,11,100.0,1,1,32,19,13,0.089,0.4,0.2,0.2
2017,20162017,1,Abilene Christian,Southland,36149,Payten Ricks,G,28,5,374,97,36,33,34,20,0,19.6,85.4,107.7,-22.3,-0.1,41.7,0.496,0.94,57.7,7.1,35.9,78,28,45.2,42,19,25.0,36,9,71.1,45,32,28,26,2,0.021,0.2,0.4,-0.2
2017,20162017,1,Abilene Christian,Southland,36150,Hayden Howell,F,29,19,451,149,43,79,17,5,12,23.8,85.9,109.4,-23.5,-0.1,45.7,0.487,0.4,44.5,41.6,45.3,128,58,46.0,124,57,25.0,4,1,56.1,57,32,89,52,37,0.009,0.1,0.4,-0.3
2017,20162017,1,Abilene Christian,Southland,36151,Trey Lenox,G,26,0,201,22,16,31,10,5,1,12.3,61.3,111.5,-50.2,-0.4,35.7,0.375,0.63,10.7,16.7,28.6,28,8,28.6,14,4,28.6,14,4,66.7,3,2,18,15,3,-0.06,-0.3,0.1,-0.4
2017,20162017,1,Abilene Christian,Southland,42097,Jaren Lewis,F,29,28,939,397,75,72,61,53,12,24.5,103.8,102.3,1.5,2.0,53.1,0.577,0.81,43.3,20.5,51.2,289,148,53.7,255,137,32.4,34,11,72.0,125,90,190,151,39,0.115,2.7,1.4,1.3
2017,20162017,1,Abilene Christian,Southland,42098,Jalone Friday,C,26,10,563,357,41,95,9,12,34,30.9,115.6,102.0,13.6,2.9,60.0,0.649,0.22,38.7,28.9,52.3,235,123,55.8,156,87,45.6,79,36,82.4,91,75,142,101,41,0.192,2.7,0.8,1.9
2017,20162017,1,Abilene Christian,Southland,42099,Jaylen Franklin,G,26,25,896,282,65,62,115,48,8,21.8,94.0,107.1,-13.1,0.7,47.2,0.476,1.77,43.4,12.2,46.2,249,115,50.0,220,110,17.2,29,5,43.5,108,47,98,86,12,0.049,1.1,0.9,0.2
2017,20162017,1,Abilene Christian,Southland,42100,Hayden Farquhar,F,29,5,413,191,25,56,20,9,5,23.6,112.2,107.2,5.0,1.3,62.0,0.626,0.8,16.9,30.8,49.3,142,70,53.1,64,34,46.2,78,36,62.5,24,15,91,63,28,0.126,1.3,0.4,0.9
2017,20162017,1,Abilene Christian,Southland,47386,Drake Green,G,27,19,648,153,23,61,30,22,6,13.2,105.1,110.8,-5.7,0.9,55.8,0.575,1.3,7.0,7.3,38.8,129,50,30.0,20,6,40.4,109,44,100.0,9,9,55,51,4,0.056,0.9,0.4,0.5
2017,20162017,1,Abilene Christian,Southland,47387,Isaiah Tripp,G,29,14,662,175,31,69,46,16,1,15.0,108.4,112.7,-4.3,1.1,53.5,0.585,1.48,36.4,19.0,42.6,129,55,52.9,51,27,35.9,78,28,78.7,47,37,42,34,8,0.066,1.1,0.3,0.8
2017,20162017,1,Abilene Christian,Southland,50277,Jadon Reynolds,G,5,0,8,0,2,0,0,0,0,20.4,0.0,96.9,-96.9,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,0,1,1,0,-0.5,-0.1,0.0,-0.1
2017,20162017,1,Abilene Christian,Southland,50278,Diamante Langston,G,25,4,199,24,19,22,16,7,0,11.6,70.1,107.5,-37.4,-0.3,50.0,0.506,0.84,72.2,0.0,50.0,18,9,56.3,16,9,0.0,2,0,46.2,13,6,16,16,0,-0.02,-0.1,0.2,-0.3
2017,20162017,1,Abilene Christian,Southland,50279,Jovan Crnic,G,13,11,367,104,20,21,40,8,1,17.2,107.2,110.4,-3.2,1.4,54.2,0.566,2.0,24.1,15.6,41.0,83,34,60.0,20,12,34.9,63,22,70.0,20,14,32,27,5,0.087,0.8,0.3,0.5
2017,20162017,2,Air Force,Mountain West,36698,Danny Hummer,G,1,0,2,0,0,0,0,0,0,0.0,,94.2,,,,,,,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,0.0,
2017,20162017,2,Air Force,Mountain West,37345,Lavelle Scottie,F,33,3,473,177,28,45,30,13,11,21.6,102.9,105.3,-2.4,0.7,47.8,0.531,1.07,47.1,21.0,44.2,138,61,44.7,114,51,41.7,24,10,69.2,65,45,105,83,22,0.093,1.1,0.6,0.5
2017,20162017,2,Air Force,Mountain West,37346,Ryan Swan,C,9,0,50,17,5,7,1,1,0,23.3,87.4,115.1,-27.7,0.0,50.0,0.535,0.2,13.3,66.7,46.7,15,7,54.5,11,6,25.0,4,1,100.0,2,2,9,3,6,0.0,0.0,0.0,0.0
2017,20162017,2,Air Force,Mountain West,37347,Sid Tomes,G,17,4,181,49,6,15,14,7,0,16.3,100.4,106.8,-6.4,0.3,45.7,0.495,2.33,17.4,0.0,34.8,46,16,40.0,15,6,32.3,31,10,87.5,8,7,19,19,0,0.066,0.3,0.2,0.1
2017,20162017,2,Air Force,Mountain West,37349,LeSean Brown,G,13,0,51,11,1,2,4,2,0,12.1,105.9,106.9,-1.0,0.1,56.3,0.496,4.0,87.5,9.1,50.0,8,4,50.0,6,3,50.0,2,1,28.6,7,2,11,10,1,0.078,0.1,0.1,0.0
2017,20162017,2,Air Force,Mountain West,37353,Caleb Morris,G,13,0,97,31,5,6,7,2,1,22.0,91.9,111.3,-19.4,0.1,26.8,0.426,1.4,67.9,20.0,25.0,28,7,42.9,14,6,7.1,14,1,84.2,19,16,15,12,3,0.041,0.1,0.1,0.0
