gameId,season,seasonLabel,seasonType,startDate,startTimeTbd,teamId,team,conference,opponentId,opponent,opponentConference,neutralSite,isHome,conferenceGame,gameType,notes,gameMinutes,pace,teamStats_fieldGoals_pct,teamStats_fieldGoals_attempted,teamStats_fieldGoals_made,teamStats_twoPointFieldGoals_pct,teamStats_twoPointFieldGoals_attempted,teamStats_twoPointFieldGoals_made,teamStats_threePointFieldGoals_pct,teamStats_threePointFieldGoals_attempted,teamStats_threePointFieldGoals_made,teamStats_freeThrows_pct,teamStats_freeThrows_attempted,teamStats_freeThrows_made,teamStats_rebounds_total,teamStats_rebounds_defensive,teamStats_rebounds_offensive,teamStats_turnovers_teamTotal,teamStats_turnovers_total,teamStats_fouls_flagrant,teamStats_fouls_technical,teamStats_fouls_total,teamStats_points_fastBreak,teamStats_points_offTurnovers,teamStats_points_inPaint,teamStats_points_byPeriod_0,teamStats_points_byPeriod_1,teamStats_points_largestLead,teamStats_points_total,teamStats_fourFactors_freeThrowRate,teamStats_fourFactors_offensiveReboundPct,teamStats_fourFactors_turnoverRatio,teamStats_fourFactors_effectiveFieldGoalPct,teamStats_assists,teamStats_blocks,teamStats_steals,teamStats_possessions,teamStats_rating,teamStats_trueShooting,teamStats_gameScore,opponentStats_fieldGoals_pct,opponentStats_fieldGoals_attempted,opponentStats_fieldGoals_made,opponentStats_twoPointFieldGoals_pct,opponentStats_twoPointFieldGoals_attempted,opponentStats_twoPointFieldGoals_made,opponentStats_threePointFieldGoals_pct,opponentStats_threePointFieldGoals_attempted,opponentStats_threePointFieldGoals_made,opponentStats_freeThrows_pct,opponentStats_freeThrows_attempted,opponentStats_freeThrows_made,opponentStats_rebounds_total,opponentStats_rebounds_defensive,opponentStats_rebounds_offensive,opponentStats_turnovers_teamTotal,opponentStats_turnovers_total,opponentStats_fouls_flagrant,opponentStats_fouls_technical,opponentStats_fouls_total,opponentStats_points_fastBreak,opponentStats_points_offTurnovers,opponentStats_points_inPaint,opponentStats_points_byPeriod_0,opponentStats_points_byPeriod_1,opponentStats_points_largestLead,opponentStats_points_total,opponentStats_fourFactors_freeThrowRate,opponentStats_fourFactors_offensiveReboundPct,opponentStats_fourFactors_turnoverRatio,opponentStats_fourFactors_effectiveFieldGoalPct,opponentStats_assists,opponentStats_blocks,opponentStats_steals,opponentStats_possessions,opponentStats_rating,opponentStats_trueShooting,opponentStats_gameScore,tournament,teamSeed,opponentSeed,teamStats_points_byPeriod_2,opponentStats_points_byPeriod_2,teamStats_points_byPeriod_3,teamStats_points_byPeriod_4,teamStats_points_byPeriod_5,opponentStats_points_byPeriod_3,opponentStats_points_byPeriod_4,opponentStats_points_byPeriod_5
24796,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,183,Mount St. Mary's,NEC,182,Morgan State,MEAC,False,False,False,STD,,40,67.5,39.6,53,21,54.8,31,17,18.2,22,4,69.6,23,16,38,27,11,0,14,0,0,15,0,19,0,28,34,12.0,62,43.4,28.9,20.9,43.4,10,1,5,67.0,92.5,49.1,39.000000000000014,40.4,52,21,52.9,34,18,16.7,18,3,76.9,13,10,32,26,6,0,16,0,0,22,0,11,0,22,33,7.0,55,25.0,18.8,23.5,43.3,12,3,3,68.0,80.9,47.6,26.5,,,,,,,,,,,
24793,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,188,Nebraska,Big Ten,162,McNeese,Southland,False,True,False,STD,,40,76.0,50.0,72,36,54.2,48,26,41.7,24,10,69.0,29,20,45,28,17,1,10,0,0,15,29,43,50,50,52,22.0,102,40.3,37.8,13.2,56.9,19,4,16,76.0,134.2,60.2,98.8,38.2,55,21,42.4,33,14,31.8,22,7,42.9,14,6,35,23,12,2,27,0,0,26,2,8,26,28,27,0.0,55,25.5,34.3,35.5,44.5,10,5,3,76.0,72.4,45.0,13.100000000000001,,,,,,,,,,,
24793,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,162,McNeese,Southland,188,Nebraska,Big Ten,False,False,False,STD,,40,76.0,38.2,55,21,42.4,33,14,31.8,22,7,42.9,14,6,35,23,12,2,27,0,0,26,2,8,26,28,27,0.0,55,25.5,34.3,35.5,44.5,10,5,3,76.0,72.4,45.0,13.100000000000001,50.0,72,36,54.2,48,26,41.7,24,10,69.0,29,20,45,28,17,1,10,0,0,15,29,43,50,50,52,22.0,102,40.3,37.8,13.2,56.9,19,4,16,76.0,134.2,60.2,98.8,,,,,,,,,,,
24794,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,187,Navy,Patriot,96,George Washington,A-10,False,True,False,TRNMNT,Veterans Classic,40,68.5,47.7,65,31,51.2,41,21,41.7,24,10,66.7,9,6,34,24,10,1,9,0,0,14,0,20,26,41,37,13.0,78,13.8,29.4,13.2,55.4,26,2,6,68.0,114.7,56.6,68.90000000000002,47.1,51,24,65.2,23,15,32.1,28,9,60.9,23,14,34,26,8,0,16,0,0,13,4,11,22,30,41,0.0,71,45.1,23.5,23.2,55.9,14,4,3,69.0,102.9,58.1,49.099999999999994,,,,,,,,,,,
24794,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,96,George Washington,A-10,187,Navy,Patriot,False,False,False,TRNMNT,Veterans Classic,40,68.5,47.1,51,24,65.2,23,15,32.1,28,9,60.9,23,14,34,26,8,0,16,0,0,13,4,11,22,30,41,0.0,71,45.1,23.5,23.2,55.9,14,4,3,69.0,102.9,58.1,49.099999999999994,47.7,65,31,51.2,41,21,41.7,24,10,66.7,9,6,34,24,10,1,9,0,0,14,0,20,26,41,37,13.0,78,13.8,29.4,13.2,55.4,26,2,6,68.0,114.7,56.6,68.90000000000002,,,,,,,,,,,
24795,2021,20202021,regular,2020-11-25 22:00:00+00:00,False,239,Radford,Big South,340,Virginia Tech,ACC,False,False,False,STD,,40,66.5,39.6,53,21,41.7,36,15,35.3,17,6,66.7,21,14,33,23,10,0,15,0,0,11,5,9,18,31,31,5.0,62,39.6,30.3,22.4,45.3,10,1,6,67.0,92.5,49.8,38.70000000000002,48.3,60,29,52.9,34,18,42.3,26,11,72.7,11,8,30,22,8,0,10,0,0,18,6,16,20,37,40,17.0,77,18.3,26.7,15.2,57.5,18,4,4,66.0,116.7,59.4,59.79999999999998,,,,,,,,,,,
24800,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,167,Miami (OH),MAC,201,North Dakota,Summit,False,True,False,STD,,40,69.0,50.9,57,29,55.8,43,24,35.7,14,5,81.8,22,18,32,24,8,1,10,0,0,22,18,19,32,34,47,15.0,81,38.6,25.0,14.5,55.3,10,3,8,69.0,117.4,60.7,62.19999999999999,38.9,54,21,51.9,27,14,25.9,27,7,75.0,24,18,33,20,13,0,17,0,0,18,7,8,20,28,39,0.0,67,44.4,39.4,24.6,45.4,8,2,3,69.0,97.1,51.9,36.10000000000001,,,,,,,,,,,
24799,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,99,Georgia Southern,Sun Belt,666,Florida National,,False,True,False,STD,,40,77.0,53.2,77,41,61.4,57,35,30.0,20,6,34.6,26,9,59,33,26,1,12,0,0,16,0,20,0,45,52,32.0,97,33.8,44.1,15.8,57.1,19,2,9,76.0,127.6,54.8,86.10000000000001,37.7,61,23,46.4,28,13,30.3,33,10,75.0,12,9,28,21,7,0,17,0,0,24,0,5,0,31,34,0.0,65,19.7,25.0,21.8,45.9,13,1,9,78.0,83.3,49.0,33.70000000000001,,,,,,,,,,,
24799,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,666,Florida National,,99,Georgia Southern,Sun Belt,False,False,False,STD,,40,77.0,37.7,61,23,46.4,28,13,30.3,33,10,75.0,12,9,28,21,7,0,17,0,0,24,0,5,0,31,34,0.0,65,19.7,25.0,21.8,45.9,13,1,9,78.0,83.3,49.0,33.70000000000001,53.2,77,41,61.4,57,35,30.0,20,6,34.6,26,9,59,33,26,1,12,0,0,16,0,20,0,45,52,32.0,97,33.8,44.1,15.8,57.1,19,2,9,76.0,127.6,54.8,86.10000000000001,,,,,,,,,,,
24802,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,232,Prairie View A&M,SWAC,144,Little Rock,Sun Belt,True,False,False,TRNMNT,Wade Houston Tipoff Classic,40,61.0,49.1,55,27,55.9,34,19,38.1,21,8,100.0,4,4,26,17,9,0,24,0,0,21,4,20,22,32,34,3.0,66,7.3,34.6,38.7,56.4,14,1,12,62.0,106.5,58.1,39.800000000000004,43.1,51,22,52.9,34,18,23.5,17,4,79.3,29,23,35,19,16,0,19,0,0,11,2,29,28,29,42,7.0,71,56.9,45.7,31.7,47.1,7,4,13,60.0,118.3,55.7,55.900000000000006,,,,,,,,,,,
